,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
KAS14,12.118530018222684,3.198489611869459,7.611596164596832,0.0,,0.0
ARGSS,10.457588719715206,4.514448690304906,9.648267779213924,-33.08962798305656,-2.6332105738477222e-11,0.11056201191088075
AGPR,2.709816348528677,1.6151493062298605,3.7291230666902173,-11.476159420777192,-1.3381726956607894e-10,-0.11056201191088075
ICL,8.908189443721632,1.3512250300488837,9.647672232649292,-7.802008048506127,-4.372194420289254e-10,1.1047398602172551
GLYCL,19.14678069839955,4.066891938591214,18.139702258698087,-6.181061838138514,-0.009146764893406363,0.020432845990112303
XYLI1,3.6677142494769672,0.5844606793432598,3.7072230470438083,0.0,,0.0
PPC,-43.54025268089428,3.111905155070555,-40.15155071467855,-0.0,,0.0
G3PT,-13.153781593684872,2.080885819035162,-13.109424274716483,-0.0,,0.0
SADT2,16.1094509536888,1.7851184624010197,12.875328999012673,-21.800478689025354,-4.536313169940175e-11,0.09189155261871432
GHMT2r,-9.957203408221565,2.505303797996174,-4.420048587426686,-6.1810618381387314,-0.009164257336794534,0.41643347446844015
DHORD2,-125.47329094192456,6.326652864064789,-125.55480614600519,-99.58882705726738,-7.585611973546166e-12,0.12364553716821212
SDPDS,8.202807774280949,3.740924516468003,12.1577055261501,-10.264319794089484,-1.7353353073416346e-10,0.1386544184978948
UMPK,0.6286235339385082,3.1922841504635695,1.1392216729274853,-19.309007033755453,-5.397253367192683e-11,0.1413045397467729
CTPS2,-25.32586820693869,2.6309324725198056,-21.454311744111482,-74.4542940602537,-1.0378205668047217e-11,0.0600015110685689
NDPK7,3.826286680399003,2.4051831110564037,2.373903543911144,-22.29376415425347,-4.3975145587674675e-11,0.010098494468397607
TRPS3,19.166513454819093,2.9318707535840245,17.178696025342504,-12.045302628268097,-1.2082680819129819e-10,0.021246945296188518
ADK1,0.6038461671316752,0.15979053472263874,0.6762658307626772,-19.925949073579297,-5.154888068025071e-11,2.7120700446198014
NDPK2,-0.587918266864579,1.2628586546322247,-1.4460613300969491,-25.088159406778995,-3.74755684904379e-11,0.1491831371633952
NDPK4,0.8343423475710136,2.6171935835279214,-3.6526395275967722,-25.699679078270453,-3.6301596105146686e-11,0.009780405161938475
ACODA,-7.001151736473133,3.4970619113237573,-7.8804962162527605,-13.623946921041053,-9.519843013418915e-11,0.11056201191088075
