,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
CHORS,-47.04605201378517,3.83007178688998,-48.53458039012042,-53.81379014980794,-5.478950018894089e-12,0.3289417341554841
IGPS,-69.86559323790038,6.010880862433656,-73.47993500779494,-76.8524387743622,-3.660086138323056e-12,0.049204837303292025
ACKr,14.689587668969322,0.5495866609458808,14.710171315602224,-8.406145835015526,-2.666186807745897e-10,0.5025363101364277
LEUTAi,0.0378851604100653,1.5770213931779395,0.14711582370920695,-30.960344867036376,-1.0805423260157596e-11,0.3899918117462038
ENO,-3.894828445649712,0.30491038787315633,-3.8476506614334243,-7.452995397787444,-0.03698300142280823,15.241052996998945
FBA,24.8482998500812,0.5290407445154958,23.136647791263773,-7.452995397787138,-0.1086130993909578,8.09920196747808
HCO3E,-11.271494293581018,3.09608666382253,-2.9249372701761622,-7.452995397791923,-0.003157287295362943,3.018203408446458
IMPC,19.601761381729027,5.443840609638234,20.02805903107591,-17.70781695084764,-2.4769523251753736e-11,-0.4687716621787369
IMPD,13.621260142547593,3.981784993950954,-1.5858283093499743,-29.437846917146945,-1.1553824320401391e-11,0.20996562692766416
PPS,-10.10998356341738,0.49798702929259925,-10.087007078416127,-0.0,,0.0
PGI,2.416048750882083,0.3826657823618915,2.4630656472381105,-15.164938629338291,-3.29347455669756e-11,6.553419556786302
PGK,19.543984097843225,0.44127734067909075,19.48054371028261,-7.452995397787469,-0.037139563682354916,-16.77460650077051
PGL,-28.028150075730945,1.6588836067672512,-27.70112991595309,-19.413185511242073,-2.1237230065681126e-11,3.4465804432136973
RPE,-3.390614099653265,1.1537200194917536,-3.5673281899996017,-9.4313958224872,-1.2838286114476777e-10,1.6275737775639276
DHQTi,-5.29022208506048,2.0731456914217943,-6.404280764744864,-16.632953158572356,-2.7670078183927874e-11,0.3289417341554841
IPMD,12.727272581854775,0.9862312728831625,9.85864372201873,-18.842808299912942,-2.2301493218362207e-11,0.3899918117462038
AIRC3,-30.403133552927944,6.027288685196741,-16.297990981032953,-7.452995397787068,-0.18728363127935455,-0.38676388854892707
TALA,-1.22089935842082,1.413281168711095,-1.3732346437824958,-9.520359282416354,-1.2288057470881513e-10,0.9782577558597059
ADSL2r,24.94399731095891,2.931870753584037,22.17199338660354,-7.452995397787465,-0.033842745397220944,0.38676388854892707
TKT1,-1.4790398321905602,2.3695192108329284,0.09509984140283656,-9.574398872226842,-1.197583526501687e-10,0.9782577558597059
RNDR1,-44.05985206166142,3.7376646440123507,-49.3771600601399,-38.960202454925216,-8.061950689038656e-12,0.022649996884012792
ALCD2x,15.1675782723426,0.3233520540517112,15.139850730001111,-0.0,,0.0
RNDR3,-40.58892126572215,2.943661042715291,-41.765427372178266,-40.14585127227574,-7.76956642632117e-12,0.023386645487096753
RNDR4,-44.77765087473715,2.41206326929862,-43.4759057703596,-40.32228654305302,-7.727871148589711e-12,0.022649996884012792
TMDS,-45.29303434274883,2.941525033941928,-44.55956744773974,-51.703938549323325,-5.740186835601455e-12,0.022649996884012792
DHAD1,-36.93208668299586,1.4003928194704445,-39.00434995869237,-36.79876961578386,-8.655737235478378e-12,0.7567908784601767
IPPMIa,-3.6899432044935088,1.9030338036478531,-7.282982846632956,-7.939988836121694,-5.216411734066655e-10,-0.3899918117462038
MDH,23.56590302868453,0.3048878319058892,23.559354097709544,-7.452995397788047,-0.017713111148949117,6.697641411491821
FUM,-3.4245366324884285,0.27824312126906164,-3.343274846871129,-7.45299539778747,-0.03363504193308444,6.697641411491821
KARA1,13.037042450146856,1.0110966471913134,10.24308195112863,-14.669882682731448,-3.519692398568352e-11,-0.7567908784601767
