,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
HCO3E,-11.271494293581018,3.09608666382253,-7.392302813665967,-12.071752835347615,-8.659113490697258e-11,1.8861298373383166
IMPC,19.601761381729027,5.443840609638234,20.734743795387647,-12.250490596403159,-8.404314652627014e-11,-0.29294388060778276
IMPD,13.621260142547593,3.981784993950954,-0.4050059141840343,-18.49470765413625,-4.142531130171017e-11,0.13121131354349613
PPS,-10.10998356341738,0.49798702929259925,-9.99450019041192,-0.0,,0.0
PGI,2.416048750882083,0.3826657823618915,2.3576939496430116,0.0,,0.0
PGK,19.543984097843225,0.44127734067909075,19.26403396026278,-6.181061840211227,-0.0620974565556597,1.2976632063682962
PGL,-28.028150075730945,1.6588836067672512,-27.74609099360665,-0.0,,0.0
RPE,-3.390614099653265,1.1537200194917536,-1.4232270353840555,-6.1810618402135695,-0.03172779061046539,-0.41878666602942155
DHQTi,-5.29022208506048,2.0731456914217943,-7.045288558969572,-10.897447947707636,-1.0815825789708424e-10,0.2055616323936968
IPMD,12.727272581854775,0.9862312728831625,11.544362827426704,-7.927962602978728,-2.920175723564652e-10,0.24371292882170878
AIRC3,-30.403133552927944,6.027288685196741,-17.5699245386013,-6.181061840214975,-0.0852094227585732,-0.24169574129947533
TALA,-1.22089935842082,1.413281168711095,-1.5447255332079344,-6.181061840243673,-0.004832071233830874,-0.10661251681786238
ADSL2r,24.94399731095891,2.931870753584037,22.18326414323815,-6.181061840217868,-0.018282597027436644,0.24169574129947533
TKT1,-1.4790398321905602,2.3695192108329284,-2.23984828951124,-6.18106184024372,-0.004825273657413124,-0.10661251681786238
RNDR1,-44.05985206166142,3.7376646440123507,-49.790721613444504,-26.93067652159437,-2.458405662759666e-11,0.014154392251695957
ALCD2x,15.1675782723426,0.3233520540517112,15.155168120951005,-0.0,,0.0
RNDR3,-40.58892126572215,2.943661042715291,-43.05022425626123,-31.54559175856646,-2.0110918158989977e-11,0.014614737272187941
RNDR4,-44.77765087473715,2.41206326929862,-44.610702596103614,-32.73095951833792,-1.921292480246956e-11,0.014154392251695957
TMDS,-45.29303434274883,2.941525033941928,-45.44577875183049,-46.21829353169626,-1.274069090432231e-11,0.014154392251695957
DHAD1,-36.93208668299586,1.4003928194704445,-37.7432625535094,-30.28651220428898,-2.1161599123400878e-11,0.4729322922685154
IPPMIa,-3.6899432044935088,1.9030338036478531,-6.7736778439782945,-7.418406275648528,-4.123111959846111e-10,-0.24371292882170878
MDH,23.56590302868453,0.3048878319058892,23.41713892902664,-6.181061840220331,-0.017475472649483213,6.707073090308817
FUM,-3.4245366324884285,0.27824312126906164,-3.3953091738590357,-6.18106184021856,-0.01810482880069433,12.405059257095544
KARA1,13.037042450146856,1.0110966471913134,11.92929333828844,-15.321593118805241,-5.580922762449043e-11,-0.4729322922685154
KARA2,-13.036798417898837,1.0110966471913134,-11.929049306040719,-15.069557218636668,-5.7390179133748463e-11,0.15716049172563534
ACCOAC,-11.766443833325402,1.4948897800518903,-9.791307041458833,-31.130963769002086,-2.044530290973862e-11,1.3054843835182643
KAS14,12.118530018222684,3.198489611869459,7.611595762171818,0.0,,0.0
ARGSS,10.457588719715206,4.514448690304906,9.648274163312855,-32.88082177194529,-1.9105240377915807e-11,0.16000749036588133
AGPR,2.709816348528677,1.6151493062298605,3.729119782986797,-11.391553694469275,-9.790257148280057e-11,-0.16000749036588133
ICL,8.908189443721632,1.3512250300488837,9.647671449538695,-0.0,,0.0
GLYCL,19.14678069839955,4.066891938591214,18.139701506770265,-6.1810618402274535,-0.009161564634639666,0.029570811451458567
XYLI1,3.6677142494769672,0.5844606793432598,3.7072301096320412,0.0,,0.0
PPC,-43.54025268089428,3.111905155070555,-40.15155252034556,-0.0,,0.0
G3PT,-13.153781593684872,2.080885819035162,-13.109424131546202,-0.0,,0.0
SADT2,16.1094509536888,1.7851184624010197,12.875331714191596,-21.372105771192928,-3.357817300919044e-11,0.13298723916309094
