,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
FUM,-3.4245366324884285,0.27824312126906164,-3.393460538457864,-2.983368181398958,-0.002328061295630013,0.16332460781293395
KARA1,13.037042450146856,1.0110966471913134,11.06323272021163,-13.539165452873783,-1.0074185769187331e-11,-0.13709011981664823
KARA2,-13.036798417898837,1.0110966471913134,-11.062988687963209,-13.312702074416459,-1.0295042253047151e-11,0.045556522557943825
ACCOAC,-11.766443833325402,1.4948897800518903,-11.772434292189445,-22.936447214513816,-5.329536646913329e-12,0.37842417081908497
KAS14,12.118530018222684,3.198489611869459,10.715687547031488,0.0,,0.0
ARGSS,10.457588719715206,4.514448690304906,8.204964393760172,-32.20106763985566,-3.639575886141901e-12,0.04638178949591717
AGPR,2.709816348528677,1.6151493062298605,2.8201346745011184,-4.9141574824334215,-5.507588931792457e-11,-0.04638178949591717
ICL,8.908189443721632,1.3512250300488837,9.112462284985687,0.0,,0.0
GLYCL,19.14678069839955,4.066891938591214,20.006992520020503,-2.9833681815133866,-0.00122340369981964,0.008571768414266823
XYLI1,3.6677142494769672,0.5844606793432598,3.65940592949164,0.0,,0.0
PPC,-43.54025268089428,3.111905155070555,-42.13853199114145,-42.0838756407472,-2.719708713773064e-12,0.4634486181894742
G3PT,-13.153781593684872,2.080885819035162,-13.223532736614297,-0.0,,0.0
SADT2,16.1094509536888,1.7851184624010197,15.700119820462215,-11.964825571217988,-1.1839951056586119e-11,0.038549358648155695
GHMT2r,-9.957203408221565,2.505303797996174,-5.698128890908004,-2.9833681815177235,-0.0012215453125664008,0.17469770509798876
DHORD2,-125.47329094192456,6.326652864064789,-71.7743087648786,-0.0,,0.0
SDPDS,8.202807774280949,3.740924516468003,9.206726052766209,-5.292136726608816,-4.605882589975313e-11,0.05816681462555099
UMPK,0.6286235339385082,3.1922841504635695,4.179249187077881,-11.381914006454156,-1.2661922977392504e-11,0.059278565070208226
CTPS2,-25.32586820693869,2.6309324725198056,-24.128460237410238,-50.923377830461156,-2.2181851955618116e-12,0.025171190427165386
NDPK7,3.826286680399003,2.4051831110564037,0.9112604175603582,-16.58261172420371,-7.819631600383559e-12,0.004236412096375812
TRPS3,19.166513454819093,2.9318707535840245,18.800508575305848,-8.730430997895999,-1.8503440739932325e-11,0.008913290624210323
ADK1,0.6038461671316752,0.15979053472263874,0.6116190991683084,-7.26676494172868,-2.4826025075647586e-11,0.35415116185127804
NDPK2,-0.587918266864579,1.2628586546322247,-0.2500618163350712,-15.433103184748145,-8.541625035175472e-12,0.06258370976308343
NDPK4,0.8343423475710136,2.6171935835279214,-3.5672969776678247,-17.64932192602607,-7.2508570176116554e-12,0.004102970681932468
ACODA,-7.001151736473133,3.4970619113237573,-8.387276375203147,-14.756594730175545,-9.032406799091504e-12,0.04638178949591717
ADSS,-7.201337183171485,2.132881548959369,-7.7971395646407835,-24.742594851308162,-4.887124030645526e-12,0.04688184198786917
ASNS2,-31.93719233992353,3.563898932730688,-32.11254258066253,-83.03228105833028,-1.3283703129542378e-12,0.037798731091234085
ASPCT,-22.925011990612784,2.9318707535840582,-19.231713098604747,-25.710714763619293,-4.679010678380104e-12,0.051870449695400556
MCOATA,9.337677216374436,1.59701121075709,7.563088206146424,-4.325697561250506,-7.92204240880403e-11,0.37842417081908497
DAPE,-1.6526074298638112,2.931870753584056,-0.28060520116736143,-5.793973888720989,-3.783524447073002e-11,0.05816681462555099
DHDPRy,-18.51619950121769,3.9391747710777167,-15.436824723823904,-9.59802449439696,-1.6076590321683865e-11,0.05816681462555099
HSK,-41.84905070105419,4.491288355819967,-20.804287866842323,-32.700552075287476,-3.5784453622594093e-12,0.08533601974465185
SDPTA,-1.1727043932019643,2.9318707535840467,-2.5707092514887346,-6.355440109834119,-3.1535568313437607e-11,-0.05816681462555099
THRS,-29.691230538026925,2.8092824173653956,-31.87871093727051,-39.83724189886586,-2.885507445216541e-12,0.08533601974465185
HSST,-29.196241305137136,5.452876154145601,-8.18068724622384,-21.0862805687977,-5.874261147524391e-12,0.02409879814352493
PPNDH,-61.78177160255919,11.317291926000584,-26.689708328612422,-38.47653178566818,-2.9961254069083478e-12,0.02905055657678739
DTMPK,-2.326793088855694,2.931870753584062,-2.3263686354871584,-17.4537030386028,-7.348871559402616e-12,0.004102970681932468
NDPK1,-2.1632799430633853,1.332575434711222,-1.740402573344772,-10.12444569372363,-1.4891173599147272e-11,0.11922935498613906
TRDR,-3.8606555887032,1.4734461038033018,-3.0529950228846214,-7.814879130231076,-2.2009692707824667e-11,0.05522812420477225
DDPA,-74.23897251962109,2.3508607107719306,-75.90966716904445,-60.78122253801656,-1.8399523805729204e-12,0.059586687725180235
MALS,-40.97608976438679,2.0817586174389335,-42.28062121058764,-0.0,,0.0
NADTRHD,-0.313020936045943,0.33576292404529984,-0.29919984231653135,-0.0,,0.0
G3PD2,20.036644655571468,0.8053510709883477,19.805175057948535,-19.757652477636885,-6.3393617273463785e-12,-0.02180034426231397
GMPS2,-1.6143098946486134e-07,67656.96475850974,-0.0018443123422002827,-40.39864072128531,-2.8421404860882355e-12,0.038034566446490004
P5CR,-9.474892918314794,6.029368087295345,-4.416540992097542,-12.243574850490118,-1.1483571968433181e-11,0.034662622643681945
AKGDH,-28.90329547062029,3.884974299684982,-31.110543394292804,-0.0,,0.0
ATPPRT,-38.55768860311099,5.077037769398501,-50.768616735760844,-67.85437599249943,-1.6393120578719384e-12,0.014855432105209745
HISTD,-23.371544504808615,2.2415883556743212,-26.48625211357762,-62.13816785105788,-1.7976698326881925e-12,0.014855432105209745
DHDPS,-130.59541464377398,6.217347477050016,-117.71051772776094,-81.14295993545886,-1.3606120659046178e-12,0.05816681462555099
IGPDH,-42.02433251451435,1.947905958690577,-41.55708749922538,-36.987532646606645,-3.1273068762564374e-12,0.014855432105209745
PRPPS,-3.834019867379797,2.024275520555874,-0.9932338811074821,-10.246120680652805,-1.464209189559332e-11,0.14605735150614624
PRATPP,-56.86468553301194,2.5552196465729087,-53.01532510021728,-69.70076285824804,-1.5939415039430634e-12,0.014855432105209745
GLUN,-14.448119756944626,0.8598395736154263,-13.757912347129782,-0.0,,0.0
PRMICI,-9.77860710150586,1.3482617167971542,-10.393993454828864,-11.174418540427299,-1.298260461021353e-11,0.014855432105209745
GLUPRT,-70.0879690388357,2.72337521655249,-69.25480336570908,-86.18952244684567,-1.2780409707072325e-12,0.07006097632914943
SERAT,-6.19970017924708,2.9318707535840414,-5.483561171327379,-41.58442528715918,-2.754829253411819e-12,0.038549358648155695
CYSS,-50.852271424810255,5.237531617134726,-52.583804913020124,-52.35416690558609,-2.153888052145313e-12,0.038549358648155695
BPNT,-7.080044146709059,3.1260416564365787,-5.343401959804755,-25.665542500298656,-4.688290907588953e-12,0.038549358648155695
PAPSR,-51.47528106964789,6.272417262701619,-49.87373935921966,-53.61600173019755,-2.1001972727451197e-12,0.038549358648155695
ASPK,20.92345105459024,2.9318707535841035,8.798835081999755,-2.9833681812811013,-0.0340186489340772,0.16760163251372778
ASAD,-28.080321224836517,1.6927163688108917,-22.40048360846347,-2.9833681812790314,-0.05336412951012378,-0.16760163251372778
DAPDC,-11.824331792401557,3.733838386328786,-14.826090693945819,-21.75214520309866,-5.665825328501977e-12,0.05380950554852204
OCBT,-31.78746484671326,2.9318707535840383,-32.636155534456975,-35.247245118729325,-3.2959417980936678e-12,0.04638178949591717
GARFT,-0.6955807698357787,5.595464134286743,4.194236505645812,-4.326144497381216,-7.91917714501024e-11,0.07006097632914943
PHETA1,-0.4072137719835521,2.07314569142181,1.2833554203198396,-27.326612228281306,-4.36841231129303e-12,-0.02905055657678739
PPND,-10.957663451905455,11.28822052398204,20.280685279738876,-14.189535147371288,-9.48951830690652e-12,0.021622840524182514
PRAMPC,-44.41041762180828,59929.53645543112,10.510331514338962,-9.73412297178358,-1.5752491308905786e-11,0.014855432105209745
GLYCK2,-13.09071836666254,0.7073330661728003,-12.817641266814787,-0.0,,0.0
ACOTA,-3.76788502774095,3.371282446943058,-9.418589923906323,-9.762709692420854,-1.5685938918098212e-11,-0.04638178949591717
SULR,-99.3233367039054,4.694120658044252,-99.7421174842797,-65.14112669430494,-1.7108043395185873e-12,0.038549358648155695
PRAGSr,-27.88756718402952,2.3158934766187227,-27.146244193453757,-42.783730086481825,-2.6718372265802773e-12,0.07006097632914943
PRFGS,11.249863552814007,48207.299067169064,47.20441148704024,-2.9887375467670854,-1.967131513463526e-08,0.07006097632914943
PSERT,-11.06679923779108,0.37616354074759,-10.922650368304001,-19.487494142722245,-6.443288676744539e-12,0.27779805433837734
AIRC2,-59.120577378772495,5.984946507606801,-48.96676885910962,-53.00509370676654,-2.1259107318449056e-12,0.07006097632914943
GAPD,-1.8293512028185996,0.405626339133743,-2.0154417302930163,-2.983368181277256,-0.09368808061640507,19.623842974246145
GND,10.39617020138882,3.176340259903543,8.874678048957005,-0.0,,0.0
G6PDH2r,-9.361772644464764,1.3215711000419956,-9.663521044708768,-0.0,,0.0
ME2,12.335045888567802,3.137103713307992,10.999752530506697,-0.0,,0.0
ARGSL,-8.66875353522916,4.887377162098045,-5.295472937395768,-20.03294994432685,-6.237127528904762e-12,0.04638178949591717
CBPS,-22.55555221892623,2.6451517260838604,-19.777457689262512,-53.965821213392125,-2.085814376466739e-12,0.09825223919131773
