"","react_id","direction","sample_id","mfa_sampling_ave","mfa_sampling_var","mfa_sampling_lb","mfa_sampling_ub"
"292","EAR60x","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"293","EAR60y","fwd","WT1","NA","NA","NA","NA"
"294","EAR60y","fwd","WT1","NA","NA","NA","NA"
"295","EAR60y","fwd","WT2","NA","NA","NA","NA"
"296","EAR60y","fwd","WT2","NA","NA","NA","NA"
"297","EAR80x","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"298","EAR80x","fwd","WT1","0.28339893900000002","5.2900000000000002E-6","0.28002883099999998","0.28834349300000001"
"299","EAR80x","fwd","WT2","0.29924787400000002","1.1399999999999999E-5","0.29512918700000002","0.30742777599999999"
"300","EAR80x","fwd","WT1","0.28339893900000002","5.2900000000000002E-6","0.28002883099999998","0.28834349300000001"
"301","EAR80y","fwd","WT1","NA","NA","NA","NA"
"302","EAR80y","fwd","WT1","NA","NA","NA","NA"
"303","EAR80y","fwd","WT2","NA","NA","NA","NA"
"304","EAR80y","fwd","WT2","NA","NA","NA","NA"
"305","ENO","fwd","WT2","21.841309840000001","0.508612014","20.365393109999999","23.05651469"
"306","ENO","fwd","WT2","21.841309840000001","0.508612014","20.365393109999999","23.05651469"
"307","ENO","fwd","WT1","21.135551540000002","0.128006336","20.47171204","21.7770124"
"308","ENO","fwd","WT1","21.135551540000002","0.128006336","20.47171204","21.7770124"
"309","FUMt2_2pp","fwd","WT1","NA","NA","NA","NA"
"310","FUMt2_2pp","fwd","WT1","NA","NA","NA","NA"
"311","FUMt2_2pp","fwd","WT2","NA","NA","NA","NA"
"312","FUMt2_2pp","fwd","WT2","NA","NA","NA","NA"
"313","G3PD2","fwd","WT1","NA","NA","NA","NA"
"314","G3PD2","fwd","WT1","NA","NA","NA","NA"
"315","G3PD2","fwd","WT2","NA","NA","NA","NA"
"316","G3PD2","fwd","WT2","NA","NA","NA","NA"
"317","G3PT","fwd","WT1","NA","NA","NA","NA"
"318","G3PT","fwd","WT1","NA","NA","NA","NA"
"319","G3PT","fwd","WT2","0.232066312","0.12673912700000001","-0.268937231","1.0251180989999999"
"320","G3PT","fwd","WT2","0.232066312","0.12673912700000001","-0.268937231","1.0251180989999999"
"321","G5SD","fwd","WT2","0.54784456999999998","0.127829304","-9.4635793999999995E-2","1.252605921"
"322","G5SD","fwd","WT1","0.19315729400000001","3.26E-5","0.182311264","0.20387988000000001"
"323","G5SD","fwd","WT2","0.54784456999999998","0.127829304","-9.4635793999999995E-2","1.252605921"
"324","G5SD","fwd","WT1","0.19315729400000001","3.26E-5","0.182311264","0.20387988000000001"
"325","G6PDH2r","fwd","WT2","2.3132753400000001","2.4761459999999999E-2","1.9898505710000001","2.5890233650000001"
"326","G6PDH2r","fwd","WT1","0.56373477100000002","9.2897069999999995E-3","0.33516775799999998","0.68463967000000003"
"327","G6PDH2r","fwd","WT1","0.56373477100000002","9.2897069999999995E-3","0.33516775799999998","0.68463967000000003"
"328","G6PDH2r","fwd","WT2","2.3132753400000001","2.4761459999999999E-2","1.9898505710000001","2.5890233650000001"
"329","GAPD","fwd","WT2","23.470756099999999","0.29087549699999998","22.279028709999999","24.319329140000001"
"330","GAPD","fwd","WT1","22.903639869999999","2.8384032999999999E-2","22.558799270000002","23.209971769999999"
"331","GAPD","fwd","WT2","23.470756099999999","0.29087549699999998","22.279028709999999","24.319329140000001"
"332","GAPD","fwd","WT1","22.903639869999999","2.8384032999999999E-2","22.558799270000002","23.209971769999999"
"333","GARFT","fwd","WT1","0.37410122299999998","2.2058599999999999E-4","0.35207369799999999","0.40888352500000003"
"334","GARFT","fwd","WT2","0.37745335200000002","2.5378086000000001E-2","6.5125261000000004E-2","0.66646845899999996"
"335","GARFT","fwd","WT2","0.37745335200000002","2.5378086000000001E-2","6.5125261000000004E-2","0.66646845899999996"
"336","GARFT","fwd","WT1","0.37410122299999998","2.2058599999999999E-4","0.35207369799999999","0.40888352500000003"
"337","GHMT2r","fwd","WT1","0.92922629099999998","5.3399999999999997E-5","0.91244906100000001","0.93867910200000004"
"338","GHMT2r","fwd","WT2","1.104620969","9.6808400000000002E-4","1.0415741080000001","1.1609210889999999"
"339","GHMT2r","fwd","WT1","0.92922629099999998","5.3399999999999997E-5","0.91244906100000001","0.93867910200000004"
"340","GHMT2r","fwd","WT2","1.104620969","9.6808400000000002E-4","1.0415741080000001","1.1609210889999999"
"341","GK1","fwd","WT2","0.50287162900000004","0.107570819","-1.882998E-2","1.223462695"
"342","GK1","fwd","WT1","0.390551651","6.2240719999999998E-3","0.24786572900000001","0.536383689"
"343","GK1","fwd","WT2","0.50287162900000004","0.107570819","-1.882998E-2","1.223462695"
"344","GK1","fwd","WT1","0.390551651","6.2240719999999998E-3","0.24786572900000001","0.536383689"
"345","GLU5K","fwd","WT2","0.54784456999999998","0.127829304","-9.4635793999999995E-2","1.252605921"
"346","GLU5K","fwd","WT1","0.19315729400000001","3.26E-5","0.182311264","0.20387988000000001"
"347","GLU5K","fwd","WT1","0.19315729400000001","3.26E-5","0.182311264","0.20387988000000001"
"348","GLU5K","fwd","WT2","0.54784456999999998","0.127829304","-9.4635793999999995E-2","1.252605921"
"349","GLUDy","fwd","WT1","NA","NA","NA","NA"
"350","GLUDy","fwd","WT1","NA","NA","NA","NA"
"351","GLUDy","fwd","WT2","NA","NA","NA","NA"
"352","GLUDy","fwd","WT2","NA","NA","NA","NA"
"353","GLUPRT","fwd","WT1","0.39370540500000001","1.0200000000000001E-5","0.38902356100000002","0.40057451199999999"
"354","GLUPRT","fwd","WT2","0.41572316999999998","2.1999999999999999E-5","0.410001381","0.42708691100000001"
"355","GLUPRT","fwd","WT1","0.39370540500000001","1.0200000000000001E-5","0.38902356100000002","0.40057451199999999"
"356","GLUPRT","fwd","WT2","0.41572316999999998","2.1999999999999999E-5","0.410001381","0.42708691100000001"
"357","GLUt2rpp","fwd","WT1","NA","NA","NA","NA"
"358","GLUt2rpp","fwd","WT1","NA","NA","NA","NA"
"359","GLYK","fwd","WT1","3.0762039999999999E-3","9.8600000000000005E-6","-1.9175360000000001E-3","8.7162549999999991E-3"
"360","GLYK","fwd","WT1","3.0762039999999999E-3","9.8600000000000005E-6","-1.9175360000000001E-3","8.7162549999999991E-3"
"361","GLYK","fwd","WT2","0.23819483999999999","0.126736871","-0.26285259599999999","1.031261172"
"362","GLYK","fwd","WT2","0.23819483999999999","0.126736871","-0.26285259599999999","1.031261172"
"363","GMPS2","fwd","WT2","0.30316584200000002","1.0388862E-2","0.15864410300000001","0.50298972600000003"
"364","GMPS2","fwd","WT2","0.30316584200000002","1.0388862E-2","0.15864410300000001","0.50298972600000003"
"365","GMPS2","fwd","WT1","0.21880970699999999","1.27E-5","0.21166788","0.22513154199999999"
"366","GMPS2","fwd","WT1","0.21880970699999999","1.27E-5","0.21166788","0.22513154199999999"
