gerosa_et_al_2015_metabolite_id,bigg.metabolite_id,condition,mean_umol_gDW,std_umol_gDW
tyr,tyr__L,Pyruvate,0.376704197,0.037004628
arg,arg__L,Pyruvate,17.40263104,5.863204471
ade,ade,Pyruvate,0.0248224,0.002922689
phe,phe__L,Pyruvate,0.187394713,0.012985089
gdp,gdp,Pyruvate,0.42581846,0.025201068
gmp,gmp,Pyruvate,0.056371142,0.013287569
gtp,gtp,Pyruvate,1.897999181,0.046594354
nad,nad,Pyruvate,6.750507191,0.18680055
nadh,nadh,Pyruvate,0.201825256,0.171053506
nadp,nadp,Pyruvate,0.018351532,0.000697416
nadph,nadph,Pyruvate,0.133040141,0.007957379
13dpg,13dpg,Pyruvate,0.066175841,0.005303992
2ddg6p,2ddg6p,Pyruvate,0.031512306,0.008056724
f6p,f6p,Pyruvate,0.662711162,0.081609551
dhap,dhap,Pyruvate,1.10616969,0.051522892
g6p,g6p,Pyruvate,1.28911702,0.071999727
6pgc,6pgc,Pyruvate,0.544382933,0.060993387
pep,pep,Pyruvate,0.397031962,0.031664664
pyr,pyr,Pyruvate,NaN,NaN
fdp,fdp,Pyruvate,0.315762353,0.038508073
e4p,e4p,Pyruvate,0.048717602,0.001554192
r5p,r5p,Pyruvate,0.052197859,0.000473817
ru5p-D,ru5p__D,Pyruvate,0.259143857,0.019650054
s7p,s7p,Pyruvate,6.818162102,0.36227952
xu5p-D,xu5p__D,Pyruvate,0.235342195,0.028691505
cit,cit,Pyruvate,11.16755086,0.843664079
akg,akg,Pyruvate,0.854317081,0.23635651
fum,fum,Pyruvate,1.349936378,0.206181934
icit,icit,Pyruvate,0.562005679,0.054726115
mal-L,mal__L,Pyruvate,2.362486978,0.089280896
succ,succ,Pyruvate,1.856839541,1.187089961
cAMP,camp,Pyruvate,0.008451938,0.00028755
f1p,f1p,Pyruvate,0.047195017,0.014537491
gal1p,gal1p,Pyruvate,0.052758998,0.0101533
glyc3p,glyc3p,Pyruvate,0.462509108,0.093879356
adp,adp,Succinate,1.345188815,0.042978323
amp,amp,Succinate,1.086386607,0.045851712
atp,atp,Succinate,7.722641221,0.141463816
glu,glu__L,Succinate,104.3242287,2.937995428
gln,gln__L,Succinate,9.568617741,0.824971853
asn,asn__L,Succinate,0.768243403,0.031104125
asp,asp__L,Succinate,5.053745473,0.265826275
tyr,tyr__L,Succinate,0.241910509,0.026985105
arg,arg__L,Succinate,8.230581037,2.034722516
ade,ade,Succinate,0.018902478,0.000942489
phe,phe__L,Succinate,0.226771894,0.029998134
gdp,gdp,Succinate,0.708225667,0.015155103
gmp,gmp,Succinate,0.259006449,0.072615673
gtp,gtp,Succinate,3.202478562,0.129670419
nad,nad,Succinate,7.166186415,0.461786834
nadh,nadh,Succinate,0.083391307,0.018652374
nadp,nadp,Succinate,0.02558324,0.000615208
nadph,nadph,Succinate,0.182845459,0.01949123
13dpg,13dpg,Succinate,0.158862461,0.020206014
2ddg6p,2ddg6p,Succinate,0.010850812,0.0013434
f6p,f6p,Succinate,1.306920583,0.076780628
dhap,dhap,Succinate,1.341023858,0.300943416
g6p,g6p,Succinate,3.086086727,0.063326246
6pgc,6pgc,Succinate,0.231438486,0.056758069
