coco_id,name,struct,bigg_ACP_equivalent
3ocddec5ePPT,3-oxo-cis-5-dodecenoyl-PPT,"InChI=1S/C24H43N2O9PS/c1-5-6-7-8-9-10-11-12-19(27)17-21(29)37-16-15-25-20(28)13-14-26-23(31)22(30)24(2,3)18-35-36(32,33)34-4/h10-11,22,30H,5-9,12-18H2,1-4H3,(H,25,28)(H,26,31)(H,32,33)/b11-10-/t22-/m1/s1",3ocddec5eACP
3hcddec5ePPT,(3R)-hydroxy-(5Z)-dodecenoyl-PPT,"InChI=1S/C24H45N2O9PS/c1-5-6-7-8-9-10-11-12-19(27)17-21(29)37-16-15-25-20(28)13-14-26-23(31)22(30)24(2,3)18-35-36(32,33)34-4/h10-11,19,22,27,30H,5-9,12-18H2,1-4H3,(H,25,28)(H,26,31)(H,32,33)/b11-10-/t19-,22+/m0/s1",3hcddec5eACP
t3c5ddecePPT,"(2E,5Z)-dodec-2,5-dienoyl-PPT","InChI=1S/C24H43N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-21(28)36-18-17-25-20(27)15-16-26-23(30)22(29)24(2,3)19-34-35(31,32)33-4/h10-11,13-14,22,29H,5-9,12,15-19H2,1-4H3,(H,25,27)(H,26,30)(H,31,32)/b11-10-,14-13+/t22-/m1/s1",t3c5ddeceACP
cddec5ePPT,(5Z)-dodecenoyl-PPT,"InChI=1S/C24H45N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-21(28)36-18-17-25-20(27)15-16-26-23(30)22(29)24(2,3)19-34-35(31,32)33-4/h10-11,22,29H,5-9,12-19H2,1-4H3,(H,25,27)(H,26,30)(H,31,32)/b11-10-/t22-/m1/s1",cddec5eACP
3ocmrs7ePPT,3-oxo-(7Z)-tetradecenoyl-PPT,"InChI=1S/C26H47N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-21(29)19-23(31)39-18-17-27-22(30)15-16-28-25(33)24(32)26(2,3)20-37-38(34,35)36-4/h10-11,24,32H,5-9,12-20H2,1-4H3,(H,27,30)(H,28,33)(H,34,35)/b11-10-/t24-/m1/s1",3ocmrs7eACP
3hcmrs7ePPT,3R-hydroxy-(7Z)-tetradecenoyl-PPT,"InChI=1S/C26H49N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-21(29)19-23(31)39-18-17-27-22(30)15-16-28-25(33)24(32)26(2,3)20-37-38(34,35)36-4/h10-11,21,24,29,32H,5-9,12-20H2,1-4H3,(H,27,30)(H,28,33)(H,34,35)/b11-10-/t21-,24+/m0/s1",3hcmrs7eACP
t3c7mrsePPT,"(2E,7Z)-tetradeca-2,7-dienoyl-PPT","InChI=1S/C26H47N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(30)38-20-19-27-22(29)17-18-28-25(32)24(31)26(2,3)21-36-37(33,34)35-4/h10-11,15-16,24,31H,5-9,12-14,17-21H2,1-4H3,(H,27,29)(H,28,32)(H,33,34)/b11-10-,16-15+/t24-/m1/s1",t3c7mrseACP
tdePPT,(7Z)-tetradecenoyl-PPT,"InChI=1S/C26H49N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(30)38-20-19-27-22(29)17-18-28-25(32)24(31)26(2,3)21-36-37(33,34)35-4/h10-11,24,31H,5-9,12-21H2,1-4H3,(H,27,29)(H,28,32)(H,33,34)/b11-10-/t24-/m1/s1",tdeACP
3ocpalm9ePPT,3-oxo-(9Z)-hexadecenoyl-PPT,"InChI=1S/C28H51N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(31)21-25(33)41-20-19-29-24(32)17-18-30-27(35)26(34)28(2,3)22-39-40(36,37)38-4/h10-11,26,34H,5-9,12-22H2,1-4H3,(H,29,32)(H,30,35)(H,36,37)/b11-10-/t26-/m1/s1",3ocpalm9eACP
3hcpalm9ePPT,(3R)-hydroxy-(9Z)-hexadecenoyl-PPT,"InChI=1S/C28H53N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(31)21-25(33)41-20-19-29-24(32)17-18-30-27(35)26(34)28(2,3)22-39-40(36,37)38-4/h10-11,23,26,31,34H,5-9,12-22H2,1-4H3,(H,29,32)(H,30,35)(H,36,37)/b11-10-/t23-,26+/m0/s1",3hcpalm9eACP
t3c9palmePPT,"(2E,9Z)-hexadeca-2,9-dienoyl-PPT","InChI=1S/C28H51N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(32)40-22-21-29-24(31)19-20-30-27(34)26(33)28(2,3)23-38-39(35,36)37-4/h10-11,17-18,26,33H,5-9,12-16,19-23H2,1-4H3,(H,29,31)(H,30,34)(H,35,36)/b11-10-,18-17+/t26-/m1/s1",t3c9palmeACP
hdePPT,(9Z)-hexadecenoyl-PPT,"InChI=1S/C28H53N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(32)40-22-21-29-24(31)19-20-30-27(34)26(33)28(2,3)23-38-39(35,36)37-4/h10-11,26,33H,5-9,12-23H2,1-4H3,(H,29,31)(H,30,34)(H,35,36)/b11-10-/t26-/m1/s1",hdeACP
3ocvac11ePPT,3-oxo-(11Z)-octadecenoyl-PPT,"InChI=1S/C30H55N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(33)23-27(35)43-22-21-31-26(34)19-20-32-29(37)28(36)30(2,3)24-41-42(38,39)40-4/h10-11,28,36H,5-9,12-24H2,1-4H3,(H,31,34)(H,32,37)(H,38,39)/b11-10-/t28-/m1/s1",3ocvac11eACP
3hcvac11ePPT,"(3R,11Z)-hydroxyoctadecenoyl-PPT","InChI=1S/C30H57N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(33)23-27(35)43-22-21-31-26(34)19-20-32-29(37)28(36)30(2,3)24-41-42(38,39)40-4/h10-11,25,28,33,36H,5-9,12-24H2,1-4H3,(H,31,34)(H,32,37)(H,38,39)/b11-10-/t25-,28+/m0/s1",3hcvac11eACP
t3c11vacePPT,"(2E,11Z)-octadeca-2,11-dienoyl-PPT","InChI=1S/C30H55N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)42-24-23-31-26(33)21-22-32-29(36)28(35)30(2,3)25-40-41(37,38)39-4/h10-11,19-20,28,35H,5-9,12-18,21-25H2,1-4H3,(H,31,33)(H,32,36)(H,37,38)/b11-10-,20-19+/t28-/m1/s1",t3c11vaceACP
octePPT,(11Z)-octadecenoyl-PPT,"InChI=1S/C30H57N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)42-24-23-31-26(33)21-22-32-29(36)28(35)30(2,3)25-40-41(37,38)39-4/h10-11,28,35H,5-9,12-25H2,1-4H3,(H,31,33)(H,32,36)(H,37,38)/b11-10-/t28-/m1/s1",octeACP
PPTCH3,phosphopantetheine-CH3,"InChI=1S/C12H25N2O7PS/c1-12(2,8-21-22(18,19)20-3)10(16)11(17)14-5-4-9(15)13-6-7-23/h10,16,23H,4-8H2,1-3H3,(H,13,15)(H,14,17)(H,18,19)/t10-/m0/s1",ACP
grxrd_active_site,glutaredoxin_reduced_active_site,"InChI=1S/C22H33N5O5S2/c1-23-17(12-34)22(32)27-9-3-4-18(27)21(31)25-15(10-13-5-7-14(28)8-6-13)20(30)26-16(11-33)19(29)24-2/h5-8,15-18,23,28,33-34H,3-4,9-12H2,1-2H3,(H,24,29)(H,25,31)(H,26,30)/t15-,16?,17?,18+/m0/s1",grxrd
grxox_active_site,glutaredoxin_oxidised_active_site,"InChI=1S/C22H31N5O5S2/c1-23-17-12-34-33-11-16(19(29)24-2)26-20(30)15(10-13-5-7-14(28)8-6-13)25-21(31)18-4-3-9-27(18)22(17)32/h5-8,15-18,23,28H,3-4,9-12H2,1-2H3,(H,24,29)(H,25,31)(H,26,30)/t15-,16?,17?,18+/m0/s1",grxox
