gene,carbon_source,fitness,overall_disruption
b0755,glyc,-0.6890000000000001,primary_full
b0755,rib__D,-0.768,primary_full
b0755,xyl__D,-0.983,primary_full
b0904,ac,-0.4145,primary_partial
b0904,fru,0.1245,primary_partial
b0904,glc__D,0.009250000000000001,primary_partial
b0904,glyc,-0.058499999999999996,primary_partial
b0904,lac__D,-0.091,primary_partial
b0904,pyr,-0.0475,primary_partial
b0904,rib__D,-0.0175,primary_partial
b0904,succ,-0.1545,primary_partial
b0904,xyl__D,-0.16999999999999998,primary_partial
b0907,ac,-5.6405,complete
b0907,fru,-5.1905,complete
b0907,glc__D,-5.023,complete
b0907,glyc,-3.238,complete
b0907,lac__D,-6.2755,complete
b0907,pyr,-4.3305,complete
b0907,rib__D,-5.385999999999999,complete
b0907,succ,-4.545,complete
b0907,xyl__D,-5.4765,complete
b0908,ac,-4.614,complete
b0908,fru,-5.269500000000001,complete
b0908,glc__D,-4.34275,complete
b0908,glyc,-4.515499999999999,complete
b0908,lac__D,-5.218500000000001,complete
b0908,pyr,-4.2155000000000005,complete
b0908,rib__D,-4.448499999999999,complete
b0908,succ,-4.1005,complete
b0908,xyl__D,-4.805,complete
b0928,ac,-1.6375000000000002,primary_partial
b0928,fru,-2.059,primary_partial
b0928,glc__D,-2.9162500000000002,primary_partial
b0928,glyc,-2.5915,primary_partial
b0928,lac__D,-1.323,primary_partial
b0928,pyr,-2.0095,primary_partial
b0928,rib__D,-1.609,primary_partial
b0928,succ,-0.429,primary_partial
b0928,xyl__D,-2.176,primary_partial
b0929,ac,-0.248,primary_partial
b0929,fru,-0.382,primary_partial
b0929,glc__D,-0.5085,primary_partial
b0929,glyc,-0.43599999999999994,primary_partial
b0929,lac__D,-0.46599999999999997,primary_partial
b0929,pyr,-0.3215,primary_partial
b0929,rib__D,-0.368,primary_partial
b0929,succ,-0.6155,primary_partial
b0929,xyl__D,-0.642,primary_partial
b1062,ac,-4.2395,complete
b1062,fru,-3.4444999999999997,complete
b1062,glc__D,-3.338,complete
b1062,glyc,-3.956,complete
b1062,lac__D,-3.0925000000000002,complete
b1062,pyr,-3.229,complete
b1062,rib__D,-3.31,complete
b1062,succ,-4.6905,complete
b1062,xyl__D,-3.639,complete
b1095,ac,2.0915,primary_partial
b1095,fru,0.525,primary_partial
b1095,glc__D,0.23125,primary_partial
b1095,glyc,0.9655,primary_partial
b1095,lac__D,1.2240000000000002,primary_partial
b1095,pyr,1.8305,primary_partial
b1095,rib__D,1.2654999999999998,primary_partial
b1095,succ,0.1765,primary_partial
b1095,xyl__D,0.836,primary_partial
b1101,glc__D,-0.9575,primary_full
b1260,ac,-6.739,complete
b1260,fru,-6.7295,complete
b1260,glc__D,-5.12275,complete
b1260,glyc,-2.449,complete
b1260,lac__D,-6.593,complete
b1260,pyr,-4.763999999999999,complete
b1260,rib__D,-4.532,complete
b1260,succ,-5.375,complete
b1260,xyl__D,-4.577999999999999,complete
b1261,ac,-6.6739999999999995,complete
b1261,fru,-5.724,complete
b1261,glc__D,-4.68825,complete
b1261,glyc,-2.6180000000000003,complete
b1261,lac__D,-6.1845,complete
b1261,pyr,-5.2405,complete
b1261,rib__D,-5.693,complete
b1261,succ,-3.9124999999999996,complete
b1261,xyl__D,-5.2170000000000005,complete
b1262,ac,-2.8,complete
b1262,fru,-2.708,complete
b1262,glc__D,-3.39075,complete
b1262,glyc,-2.8085,complete
b1262,lac__D,-2.296,complete
b1262,pyr,-1.8820000000000001,complete
b1262,rib__D,-2.4215,complete
b1262,succ,-2.1624999999999996,complete
b1262,xyl__D,-3.3185000000000002,complete
b1263,ac,-1.601,complete
b1263,fru,-3.159,complete
b1263,glc__D,-3.306,complete
