gene_name,bnum,uniprot_id,A1-1,A1-2,A1-3,C1,F1-1,F1-2,F1-3
cobC,b0638,P52086,0,0,0,0,0,0,0
cobS,b1992,P36561,2.19255E-05,2.6685E-05,0.000027532,2.93978E-05,3.39358E-05,3.0461E-05,2.9078E-05
cobT,b1991,P36562,3.17785E-05,2.77244E-05,3.13099E-05,3.01551E-05,2.86247E-05,3.05816E-05,2.48131E-05
cobU,b1993,P0AE76,0,0,0,0,0,0,0
codA,b0337,P25524,0.000709716,0.00070945,0.000710664,0.000840796,0.000841409,0.000850429,0.000849689
codB,b0336,P0AA82,0.000466684,0.000447039,0.000476672,0.00045862,0.000481409,0.000461235,0.00045519
cof,b0446,P46891,0,0,0,0,0,0,0
comR,b1111,P75952,0,0,0,0,0,0,0
copA,b0484,Q59385,0.000851439,0.000842499,0.000850689,0.000496522,0.00036365,0.000353323,0.000335514
corA,b3816,P0ABI4,0.000116986,0.000114207,0.000110121,0.000130783,0.000129269,0.0001233,0.000123091
cpdA,b3032,P0AEW4,3.17493E-05,3.39229E-05,2.98579E-05,3.51066E-05,3.81692E-05,3.38681E-05,3.49979E-05
cpdB,b4213,P08331,0.000101842,0.000100763,9.77663E-05,0.00011008,0.000109664,0.000108694,0.000110682
cpoB,b0742,P45955,0.00028983,0.000285119,0.000285858,0.000312641,0.000336295,0.000328065,0.00031937
cpsB,b2049,P24174,0,0,0,0,0,0,0
cpsG,b2048,P24175,0,0,0,0,0,0,0
cptA,b2896,Q46824,0,0,0,0,0,0,0
cpxA,b3911,P0AE82,3.74196E-05,3.46263E-05,3.60428E-05,4.11292E-05,4.19352E-05,4.09522E-05,4.27093E-05
cpxP,b4484,P0AE85,1.54729E-05,1.36867E-05,1.27019E-05,1.80655E-05,2.03649E-05,1.77919E-05,1.60526E-05
cpxR,b3912,P0AE88,0.000279956,0.000283506,0.000278265,0.000308025,0.000302177,0.000292035,0.000292706
cra,b0080,P0ACP1,8.02782E-05,8.7444E-05,6.72733E-05,8.83163E-05,9.53279E-05,9.24533E-05,8.71034E-05
crcB,b0624,P37002,0,0,0,0,0,0,0
creA,b4397,P0AE91,6.05326E-05,6.10944E-05,5.44826E-05,5.91976E-05,6.31405E-05,6.31483E-05,6.02355E-05
creB,b4398,P08368,0,0,0,0,0,0,0
creC,b4399,P08401,0,0,0,0,0,0,0
creD,b4400,P08369,0,0,0,0,0,0,0
crfC,b4109,P0DM85,0,0,0,0,0,0,0
crl,b0240,P24251,0.000118164,0.000116195,0.000115356,0.000115308,0.000114417,0.00012666,0.000114484
crp,b3357,P0ACJ8,0.000686633,0.000696738,0.000654379,0.000664438,0.000637633,0.000629957,0.000660674
crr,b2417,P69783,0.001879025,0.001857206,0.001945042,0.001865364,0.001813812,0.001849409,0.001830081
csdA,b2810,Q46925,2.1815E-05,2.35793E-05,2.25211E-05,2.23561E-05,2.2225E-05,2.28262E-05,2.19305E-05
csdE,b2811,P0AGF2,2.04805E-05,2.18333E-05,2.12143E-05,1.88611E-05,1.98963E-05,1.81773E-05,2.50193E-05
csgA,b1042,P28307,0,0,0,0,0,0,0
csgB,b1041,P0ABK7,0,0,0,0,0,0,0
csgC,b1043,P52107,0,0,0,0,0,0,0
csgD,b1040,P52106,0,0,0,0,0,0,0
csgE,b1039,P0AE95,0,0,0,0,0,0,0
csgF,b1038,P0AE98,0,0,0,0,0,0,0
csgG,b1037,P0AEA2,0,0,0,0,0,0,0
csiD,b2659,P76621,0,0,0,0,0,0,0
csiE,b2535,P54901,0,0,0,0,0,0,0
csiR,b2664,P37338,0,0,0,0,0,0,0
cspA,b3556,P0A9X9,9.68543E-05,8.97706E-05,0.000101764,0.000130681,0.00011448,0.000112461,0.000108003
cspB,b1557,P36995,0,0,0,0,0,0,1.88851E-06
cspC,b1823,P0A9Y6,0.002651274,0.002834241,0.00271369,0.00261164,0.002500953,0.002641044,0.002779182
cspD,b0880,P0A968,0.000152886,0.000144529,0.00015181,0.000157168,0.000149719,0.000153908,0.000152613
cspE,b0623,P0A972,0.001642545,0.001736467,0.001637136,0.00150475,0.001501718,0.001445612,0.001552815
cspF,b1558,P0A976,0,0,0,0,0,0,0
cspG,b0990,P0A978,3.40338E-06,3.70251E-06,4.3808E-06,4.96905E-06,4.3209E-06,3.9078E-06,3.85958E-06
cspH,b0989,P0A982,0,0,0,0,0,0,0
cspI,b1552,P0A986,0,0,0,0,0,0,0
csrA,b2696,P69913,0.0005617,0.000562019,0.000574745,0,0,6.6489E-05,9.54279E-05
csrD,b3252,P13518,0,0,0,0,0,0,0
cstA,b0598,P15078,9.89699E-05,9.61143E-05,8.45676E-05,9.57062E-05,0.00010501,0.000110749,8.14275E-05
cueO,b0123,P36649,0.00104529,0.001043393,0.00102132,0.000762676,0.000624628,0.000610803,0.000544688
cueR,b0487,P0A9G4,5.16302E-05,4.83761E-05,4.61538E-05,4.39428E-05,5.15229E-05,4.85986E-05,4.67729E-05
curA,b1449,P76113,0.000114777,0.00011674,0.000118621,0.000146701,0.000132355,0.000121629,0.000126079
cusA,b0575,P38054,0,0,2.70914E-06,1.11345E-06,0,0,3.60084E-06
cusB,b0574,P77239,0,0,0,1.93585E-06,0,0,0
cusC,b0572,P77211,1.29326E-06,1.76687E-06,1.24983E-06,1.27614E-06,2.60271E-06,2.6875E-06,0
cusF,b0573,P77214,0,0,0,3.90932E-06,0,0,0
cusR,b0571,P0ACZ8,1.69027E-05,1.62997E-05,1.89997E-05,2.99792E-05,1.74115E-05,2.03186E-05,1.93199E-05
cusS,b0570,P77485,0,1.07002E-05,0,0,0,0,0
cutA,b4137,P69488,2.37232E-05,2.61094E-05,1.88371E-05,1.39593E-05,1.46022E-05,1.41048E-05,1.6843E-05
cutC,b1874,P67826,3.60343E-05,3.80318E-05,3.47338E-05,3.82793E-05,3.99811E-05,3.96354E-05,3.55839E-05
cvpA,b2313,P08550,0,0,0,0,0,0,0
cvrA,b1191,P76007,2.60845E-05,2.91262E-05,2.08671E-05,2.2763E-05,2.48782E-05,2.45546E-05,0
cyaA,b3806,P00936,0.000168573,0.000161226,0.000139946,0.000200912,0.00021025,0.000212439,0.000193069
cyaY,b3807,P27838,9.32916E-05,9.25207E-05,8.0621E-05,7.91639E-05,7.626E-05,8.29592E-05,8.38047E-05
cybB,b1418,P0ABE5,0,0,0,0,0,0,0
cycA,b4208,P0AAE0,0.000178769,0.00017433,0.000175425,0.00021899,0.000226429,0.000225951,0.000209595
cydA,b0733,P0ABJ9,0.000253806,0.000244673,0.000245824,0.000269918,0.000269553,0.000263098,0.00025362
cydB,b0734,P0ABK2,0.000121302,0.000111913,0.000130983,0.000152077,0.000143525,0.000146561,0.000143656
cydC,b0886,P23886,5.82005E-05,6.06594E-05,4.72425E-05,6.76823E-05,7.12426E-05,5.50367E-05,7.14304E-05
cydD,b0887,P29018,6.33256E-05,6.62382E-05,6.82164E-05,8.13525E-05,8.29595E-05,7.86599E-05,7.71523E-05
cydX,b4515,P56100,0,0,0,0,0,0,0
cynR,b0338,P27111,0,0,0,0,0,0,0
cynS,b0340,P00816,0,0,0,0,0,0,0
cynT,b0339,P0ABE9,0,0,0,0,0,0,0
cynX,b0341,P17583,0,0,0,0,0,0,0
cyoA,b0432,P0ABJ1,0.000822877,0.000805849,0.000828652,0.00088145,0.000893708,0.000889807,0.000889171
cyoB,b0431,P0ABI8,0.001150637,0.001137892,0.001118349,0.001166944,0.001206878,0.001198507,0.001164216
cyoC,b0430,P0ABJ3,0,0,0,0,0,0,0
cyoD,b0429,P0ABJ6,0,0,0,0,0,0,0
cyoE,b0428,P0AEA5,0,0,0,0,0,0,0
cysA,b2422,P16676,0.000612606,0.000623421,0.000594612,0.000727165,0.000666204,0.000717374,0.000626323
