,bigg_id,group_descr,reaction
482,ASPtpp_f,"Transport, Inner Membrane",asp__L_p <=> asp__L_c
4821,ASPtpp_b,"Transport, Inner Membrane",asp__L_p <=> asp__L_c
483,FUMt1pp_f,"Transport, Inner Membrane",fum_p <=> fum_c
4831,FUMt1pp_b,"Transport, Inner Membrane",fum_p <=> fum_c
484,SUCCt1pp_f,"Transport, Inner Membrane",succ_p <=> succ_c
4841,SUCCt1pp_b,"Transport, Inner Membrane",succ_p <=> succ_c
485,GLUtex_f,"Transport, Outer Membrane Porin",glu__L_e <=> glu__L_p
4851,GLUtex_b,"Transport, Outer Membrane Porin",glu__L_e <=> glu__L_p
486,GLYtex_f,"Transport, Outer Membrane Porin",gly_e <=> gly_p
4861,GLYtex_b,"Transport, Outer Membrane Porin",gly_e <=> gly_p
487,GLYALDtex_f,"Transport, Outer Membrane Porin",glyald_e <=> glyald_p
4871,GLYALDtex_b,"Transport, Outer Membrane Porin",glyald_e <=> glyald_p
488,GLYBtex_f,"Transport, Outer Membrane Porin",glyb_e <=> glyb_p
4881,GLYBtex_b,"Transport, Outer Membrane Porin",glyb_e <=> glyb_p
489,GLYCtex_f,"Transport, Outer Membrane Porin",glyc_e <=> glyc_p
4891,GLYCtex_b,"Transport, Outer Membrane Porin",glyc_e <=> glyc_p
490,GLYC3Ptex_f,"Transport, Outer Membrane Porin",glyc3p_e <=> glyc3p_p
4901,GLYC3Ptex_b,"Transport, Outer Membrane Porin",glyc3p_e <=> glyc3p_p
491,GLYCLTtex_f,"Transport, Outer Membrane Porin",glyclt_e <=> glyclt_p
4911,GLYCLTtex_b,"Transport, Outer Membrane Porin",glyclt_e <=> glyclt_p
492,GTPtex_f,"Transport, Outer Membrane Porin",gtp_e <=> gtp_p
4921,GTPtex_b,"Transport, Outer Membrane Porin",gtp_e <=> gtp_p
493,Htex_f,"Transport, Outer Membrane Porin",h_e <=> h_p
4931,Htex_b,"Transport, Outer Membrane Porin",h_e <=> h_p
494,H2tex_f,"Transport, Outer Membrane Porin",h2_e <=> h2_p
4941,H2tex_b,"Transport, Outer Membrane Porin",h2_e <=> h2_p
495,H2Otex_f,"Transport, Outer Membrane Porin",h2o_e <=> h2o_p
4951,H2Otex_b,"Transport, Outer Membrane Porin",h2o_e <=> h2o_p
496,DAPtex_f,"Transport, Outer Membrane Porin",15dap_e <=> 15dap_p
4961,DAPtex_b,"Transport, Outer Membrane Porin",15dap_e <=> 15dap_p
497,12PPDStex_f,"Transport, Outer Membrane Porin",12ppd__S_e <=> 12ppd__S_p
4971,12PPDStex_b,"Transport, Outer Membrane Porin",12ppd__S_e <=> 12ppd__S_p
498,DDGLCNtex_f,"Transport, Outer Membrane Porin",2ddglcn_e <=> 2ddglcn_p
4981,DDGLCNtex_b,"Transport, Outer Membrane Porin",2ddglcn_e <=> 2ddglcn_p
499,26DAHtex_f,"Transport, Outer Membrane Porin",26dap__M_e <=> 26dap__M_p
4991,26DAHtex_b,"Transport, Outer Membrane Porin",26dap__M_e <=> 26dap__M_p
500,HCINNMtex_f,"Transport, Outer Membrane Porin",3hcinnm_e <=> 3hcinnm_p
5001,HCINNMtex_b,"Transport, Outer Membrane Porin",3hcinnm_e <=> 3hcinnm_p
501,HPPPNtex_f,"Transport, Outer Membrane Porin",3hpppn_e <=> 3hpppn_p
5011,HPPPNtex_b,"Transport, Outer Membrane Porin",3hpppn_e <=> 3hpppn_p
502,ACtex_f,"Transport, Outer Membrane Porin",ac_e <=> ac_p
5021,ACtex_b,"Transport, Outer Membrane Porin",ac_e <=> ac_p
503,ACALDtex_f,"Transport, Outer Membrane Porin",acald_e <=> acald_p
5031,ACALDtex_b,"Transport, Outer Membrane Porin",acald_e <=> acald_p
504,ACMANAtex_f,"Transport, Outer Membrane Porin",acmana_e <=> acmana_p
5041,ACMANAtex_b,"Transport, Outer Membrane Porin",acmana_e <=> acmana_p
506,GALtex_f,"Transport, Outer Membrane Porin",gal_e <=> gal_p
5061,GALtex_b,"Transport, Outer Membrane Porin",gal_e <=> gal_p
507,GALCTtex_f,"Transport, Outer Membrane Porin",galct__D_e <=> galct__D_p
5071,GALCTtex_b,"Transport, Outer Membrane Porin",galct__D_e <=> galct__D_p
508,GALCTNtex_f,"Transport, Outer Membrane Porin",galctn__D_e <=> galctn__D_p
5081,GALCTNtex_b,"Transport, Outer Membrane Porin",galctn__D_e <=> galctn__D_p
509,GALTtex_f,"Transport, Outer Membrane Porin",galt_e <=> galt_p
5091,GALTtex_b,"Transport, Outer Membrane Porin",galt_e <=> galt_p
510,GALURtex_f,"Transport, Outer Membrane Porin",galur_e <=> galur_p
5101,GALURtex_b,"Transport, Outer Membrane Porin",galur_e <=> galur_p
511,GAMtex_f,"Transport, Outer Membrane Porin",gam_e <=> gam_p
5111,GAMtex_b,"Transport, Outer Membrane Porin",gam_e <=> gam_p
512,GBBTNtex_f,"Transport, Outer Membrane Porin",gbbtn_e <=> gbbtn_p
5121,GBBTNtex_b,"Transport, Outer Membrane Porin",gbbtn_e <=> gbbtn_p
513,HIStex_f,"Transport, Outer Membrane Porin",his__L_e <=> his__L_p
5131,HIStex_b,"Transport, Outer Membrane Porin",his__L_e <=> his__L_p
514,HXAtex_f,"Transport, Outer Membrane Porin",hxa_e <=> hxa_p
5141,HXAtex_b,"Transport, Outer Membrane Porin",hxa_e <=> hxa_p
515,HYXNtex_f,"Transport, Outer Membrane Porin",hxan_e <=> hxan_p
5151,HYXNtex_b,"Transport, Outer Membrane Porin",hxan_e <=> hxan_p
516,IDONtex_f,"Transport, Outer Membrane Porin",idon__L_e <=> idon__L_p
5161,IDONtex_b,"Transport, Outer Membrane Porin",idon__L_e <=> idon__L_p
517,ILEtex_f,"Transport, Outer Membrane Porin",ile__L_e <=> ile__L_p
5171,ILEtex_b,"Transport, Outer Membrane Porin",ile__L_e <=> ile__L_p
518,INSTtex_f,"Transport, Outer Membrane Porin",inost_e <=> inost_p
5181,INSTtex_b,"Transport, Outer Membrane Porin",inost_e <=> inost_p
519,Ktex_f,"Transport, Outer Membrane Porin",k_e <=> k_p
5191,Ktex_b,"Transport, Outer Membrane Porin",k_e <=> k_p
520,D_LACtex_f,"Transport, Outer Membrane Porin",lac__D_e <=> lac__D_p
5201,D_LACtex_b,"Transport, Outer Membrane Porin",lac__D_e <=> lac__D_p
521,FRULYStex_f,"Transport, Outer Membrane Porin",frulys_e <=> frulys_p
5211,FRULYStex_b,"Transport, Outer Membrane Porin",frulys_e <=> frulys_p
522,ASPtex_f,"Transport, Outer Membrane Porin",asp__L_e <=> asp__L_p
5221,ASPtex_b,"Transport, Outer Membrane Porin",asp__L_e <=> asp__L_p
523,INDOLEtex_f,"Transport, Outer Membrane Porin",indole_e <=> indole_p
5231,INDOLEtex_b,"Transport, Outer Membrane Porin",indole_e <=> indole_p
524,L_LACtex_f,"Transport, Outer Membrane Porin",lac__L_e <=> lac__L_p
5241,L_LACtex_b,"Transport, Outer Membrane Porin",lac__L_e <=> lac__L_p
525,GLCRtex_f,"Transport, Outer Membrane Porin",glcr_e <=> glcr_p
5251,GLCRtex_b,"Transport, Outer Membrane Porin",glcr_e <=> glcr_p
526,GLCNtex_f,"Transport, Outer Membrane Porin",glcn_e <=> glcn_p
5261,GLCNtex_b,"Transport, Outer Membrane Porin",glcn_e <=> glcn_p
527,GLCURtex_f,"Transport, Outer Membrane Porin",glcur_e <=> glcur_p
5271,GLCURtex_b,"Transport, Outer Membrane Porin",glcur_e <=> glcur_p
528,GLNtex_f,"Transport, Outer Membrane Porin",gln__L_e <=> gln__L_p
5281,GLNtex_b,"Transport, Outer Membrane Porin",gln__L_e <=> gln__L_p
529,O2tex_f,"Transport, Outer Membrane Porin",o2_e <=> o2_p
5291,O2tex_b,"Transport, Outer Membrane Porin",o2_e <=> o2_p
530,OCTAtex_f,"Transport, Outer Membrane Porin",octa_e <=> octa_p
5301,OCTAtex_b,"Transport, Outer Membrane Porin",octa_e <=> octa_p
531,ORNtex_f,"Transport, Outer Membrane Porin",orn_e <=> orn_p
5311,ORNtex_b,"Transport, Outer Membrane Porin",orn_e <=> orn_p
532,RMNtex_f,"Transport, Outer Membrane Porin",rmn_e <=> rmn_p
5321,RMNtex_b,"Transport, Outer Membrane Porin",rmn_e <=> rmn_p
534,PHEtex_f,"Transport, Outer Membrane Porin",phe__L_e <=> phe__L_p
5341,PHEtex_b,"Transport, Outer Membrane Porin",phe__L_e <=> phe__L_p
535,PItex_f,"Transport, Outer Membrane Porin",pi_e <=> pi_p
5351,PItex_b,"Transport, Outer Membrane Porin",pi_e <=> pi_p
536,PNTOtex_f,"Transport, Outer Membrane Porin",pnto__R_e <=> pnto__R_p
5361,PNTOtex_b,"Transport, Outer Membrane Porin",pnto__R_e <=> pnto__R_p
537,PPPNtex_f,"Transport, Outer Membrane Porin",pppn_e <=> pppn_p
5371,PPPNtex_b,"Transport, Outer Membrane Porin",pppn_e <=> pppn_p
538,PPTtex_f,"Transport, Outer Membrane Porin",ppt_e <=> ppt_p
5381,PPTtex_b,"Transport, Outer Membrane Porin",ppt_e <=> ppt_p
539,PTRCtex_f,"Transport, Outer Membrane Porin",ptrc_e <=> ptrc_p
5391,PTRCtex_b,"Transport, Outer Membrane Porin",ptrc_e <=> ptrc_p
540,PYRtex_f,"Transport, Outer Membrane Porin",pyr_e <=> pyr_p
5401,PYRtex_b,"Transport, Outer Membrane Porin",pyr_e <=> pyr_p
541,DSERtex_f,"Transport, Outer Membrane Porin",ser__D_e <=> ser__D_p
5411,DSERtex_b,"Transport, Outer Membrane Porin",ser__D_e <=> ser__D_p
542,SERtex_f,"Transport, Outer Membrane Porin",ser__L_e <=> ser__L_p
5421,SERtex_b,"Transport, Outer Membrane Porin",ser__L_e <=> ser__L_p
543,SO4tex_f,"Transport, Outer Membrane Porin",so4_e <=> so4_p
5431,SO4tex_b,"Transport, Outer Membrane Porin",so4_e <=> so4_p
544,SPMDtex_f,"Transport, Outer Membrane Porin",spmd_e <=> spmd_p
5441,SPMDtex_b,"Transport, Outer Membrane Porin",spmd_e <=> spmd_p
545,SUCCtex_f,"Transport, Outer Membrane Porin",succ_e <=> succ_p
5451,SUCCtex_b,"Transport, Outer Membrane Porin",succ_e <=> succ_p
546,SUCRtex_f,"Transport, Outer Membrane Porin",sucr_e <=> sucr_p
5461,SUCRtex_b,"Transport, Outer Membrane Porin",sucr_e <=> sucr_p
547,TARTRtex_f,"Transport, Outer Membrane Porin",tartr__L_e <=> tartr__L_p
5471,TARTRtex_b,"Transport, Outer Membrane Porin",tartr__L_e <=> tartr__L_p
548,TAURtex_f,"Transport, Outer Membrane Porin",taur_e <=> taur_p
5481,TAURtex_b,"Transport, Outer Membrane Porin",taur_e <=> taur_p
549,THRtex_f,"Transport, Outer Membrane Porin",thr__L_e <=> thr__L_p
5491,THRtex_b,"Transport, Outer Membrane Porin",thr__L_e <=> thr__L_p
550,THMDtex_f,"Transport, Outer Membrane Porin",thymd_e <=> thymd_p
5501,THMDtex_b,"Transport, Outer Membrane Porin",thymd_e <=> thymd_p
551,METDtex_f,"Transport, Outer Membrane Porin",met__D_e <=> met__D_p
5511,METDtex_b,"Transport, Outer Membrane Porin",met__D_e <=> met__D_p
552,METtex_f,"Transport, Outer Membrane Porin",met__L_e <=> met__L_p
5521,METtex_b,"Transport, Outer Membrane Porin",met__L_e <=> met__L_p
553,MNLtex_f,"Transport, Outer Membrane Porin",mnl_e <=> mnl_p
5531,MNLtex_b,"Transport, Outer Membrane Porin",mnl_e <=> mnl_p
554,NAtex_f,"Transport, Outer Membrane Porin",na1_e <=> na1_p
5541,NAtex_b,"Transport, Outer Membrane Porin",na1_e <=> na1_p
555,NACtex_f,"Transport, Outer Membrane Porin",nac_e <=> nac_p
5551,NACtex_b,"Transport, Outer Membrane Porin",nac_e <=> nac_p
556,NH4tex_f,"Transport, Outer Membrane Porin",nh4_e <=> nh4_p
5561,NH4tex_b,"Transport, Outer Membrane Porin",nh4_e <=> nh4_p
557,BUTtex_f,"Transport, Outer Membrane Porin",but_e <=> but_p
5571,BUTtex_b,"Transport, Outer Membrane Porin",but_e <=> but_p
558,CHLtex_f,"Transport, Outer Membrane Porin",chol_e <=> chol_p
5581,CHLtex_b,"Transport, Outer Membrane Porin",chol_e <=> chol_p
559,CO2tex_f,"Transport, Outer Membrane Porin",co2_e <=> co2_p
5591,CO2tex_b,"Transport, Outer Membrane Porin",co2_e <=> co2_p
560,CRNtex_f,"Transport, Outer Membrane Porin",crn_e <=> crn_p
5601,CRNtex_b,"Transport, Outer Membrane Porin",crn_e <=> crn_p
561,DINStex_f,"Transport, Outer Membrane Porin",din_e <=> din_p
5611,DINStex_b,"Transport, Outer Membrane Porin",din_e <=> din_p
562,DMStex_f,"Transport, Outer Membrane Porin",dms_e <=> dms_p
5621,DMStex_b,"Transport, Outer Membrane Porin",dms_e <=> dms_p
563,CSNtex_f,"Transport, Outer Membrane Porin",csn_e <=> csn_p
5631,CSNtex_b,"Transport, Outer Membrane Porin",csn_e <=> csn_p
564,CYNTtex_f,"Transport, Outer Membrane Porin",cynt_e <=> cynt_p
5641,CYNTtex_b,"Transport, Outer Membrane Porin",cynt_e <=> cynt_p
565,CYStex_f,"Transport, Outer Membrane Porin",cys__L_e <=> cys__L_p
5651,CYStex_b,"Transport, Outer Membrane Porin",cys__L_e <=> cys__L_p
566,CYTDtex_f,"Transport, Outer Membrane Porin",cytd_e <=> cytd_p
5661,CYTDtex_b,"Transport, Outer Membrane Porin",cytd_e <=> cytd_p
567,DCAtex_f,"Transport, Outer Membrane Porin",dca_e <=> dca_p
5671,DCAtex_b,"Transport, Outer Membrane Porin",dca_e <=> dca_p
568,DGSNtex_f,"Transport, Outer Membrane Porin",dgsn_e <=> dgsn_p
5681,DGSNtex_b,"Transport, Outer Membrane Porin",dgsn_e <=> dgsn_p
569,LCTStex_f,"Transport, Outer Membrane Porin",lcts_e <=> lcts_p
5691,LCTStex_b,"Transport, Outer Membrane Porin",lcts_e <=> lcts_p
570,LEUtex_f,"Transport, Outer Membrane Porin",leu__L_e <=> leu__L_p
5701,LEUtex_b,"Transport, Outer Membrane Porin",leu__L_e <=> leu__L_p
571,LYStex_f,"Transport, Outer Membrane Porin",lys__L_e <=> lys__L_p
5711,LYStex_b,"Transport, Outer Membrane Porin",lys__L_e <=> lys__L_p
572,LYXtex_f,"Transport, Outer Membrane Porin",lyx__L_e <=> lyx__L_p
5721,LYXtex_b,"Transport, Outer Membrane Porin",lyx__L_e <=> lyx__L_p
573,MANtex_f,"Transport, Outer Membrane Porin",man_e <=> man_p
5731,MANtex_b,"Transport, Outer Membrane Porin",man_e <=> man_p
574,MAN6Ptex_f,"Transport, Outer Membrane Porin",man6p_e <=> man6p_p
5741,MAN6Ptex_b,"Transport, Outer Membrane Porin",man6p_e <=> man6p_p
575,MELIBtex_f,"Transport, Outer Membrane Porin",melib_e <=> melib_p
5751,MELIBtex_b,"Transport, Outer Membrane Porin",melib_e <=> melib_p
576,DMSOtex_f,"Transport, Outer Membrane Porin",dmso_e <=> dmso_p
5761,DMSOtex_b,"Transport, Outer Membrane Porin",dmso_e <=> dmso_p
577,FRUtex_f,"Transport, Outer Membrane Porin",fru_e <=> fru_p
5771,FRUtex_b,"Transport, Outer Membrane Porin",fru_e <=> fru_p
578,FUCtex_f,"Transport, Outer Membrane Porin",fuc__L_e <=> fuc__L_p
5781,FUCtex_b,"Transport, Outer Membrane Porin",fuc__L_e <=> fuc__L_p
579,FUMtex_f,"Transport, Outer Membrane Porin",fum_e <=> fum_p
5791,FUMtex_b,"Transport, Outer Membrane Porin",fum_e <=> fum_p
580,FE2tex_f,"Transport, Outer Membrane Porin",fe2_e <=> fe2_p
5801,FE2tex_b,"Transport, Outer Membrane Porin",fe2_e <=> fe2_p
581,NMNtex_f,"Transport, Outer Membrane Porin",nmn_e <=> nmn_p
5811,NMNtex_b,"Transport, Outer Membrane Porin",nmn_e <=> nmn_p
582,NO2tex_f,"Transport, Outer Membrane Porin",no2_e <=> no2_p
5821,NO2tex_b,"Transport, Outer Membrane Porin",no2_e <=> no2_p
583,GDPtex_f,"Transport, Outer Membrane Porin",gdp_e <=> gdp_p
5831,GDPtex_b,"Transport, Outer Membrane Porin",gdp_e <=> gdp_p
584,TMAtex_f,"Transport, Outer Membrane Porin",tma_e <=> tma_p
5841,TMAtex_b,"Transport, Outer Membrane Porin",tma_e <=> tma_p
585,TMAOtex_f,"Transport, Outer Membrane Porin",tmao_e <=> tmao_p
5851,TMAOtex_b,"Transport, Outer Membrane Porin",tmao_e <=> tmao_p
586,TREtex_f,"Transport, Outer Membrane Porin",tre_e <=> tre_p
5861,TREtex_b,"Transport, Outer Membrane Porin",tre_e <=> tre_p
587,TRPtex_f,"Transport, Outer Membrane Porin",trp__L_e <=> trp__L_p
5871,TRPtex_b,"Transport, Outer Membrane Porin",trp__L_e <=> trp__L_p
588,TSULtex_f,"Transport, Outer Membrane Porin",tsul_e <=> tsul_p
5881,TSULtex_b,"Transport, Outer Membrane Porin",tsul_e <=> tsul_p
589,TYRtex_f,"Transport, Outer Membrane Porin",tyr__L_e <=> tyr__L_p
5891,TYRtex_b,"Transport, Outer Membrane Porin",tyr__L_e <=> tyr__L_p
590,URAtex_f,"Transport, Outer Membrane Porin",ura_e <=> ura_p
5901,URAtex_b,"Transport, Outer Membrane Porin",ura_e <=> ura_p
591,UREAtex_f,"Transport, Outer Membrane Porin",urea_e <=> urea_p
5911,UREAtex_b,"Transport, Outer Membrane Porin",urea_e <=> urea_p
592,VALtex_f,"Transport, Outer Membrane Porin",val__L_e <=> val__L_p
5921,VALtex_b,"Transport, Outer Membrane Porin",val__L_e <=> val__L_p
593,XANtex_f,"Transport, Outer Membrane Porin",xan_e <=> xan_p
5931,XANtex_b,"Transport, Outer Membrane Porin",xan_e <=> xan_p
594,XYLtex_f,"Transport, Outer Membrane Porin",xyl__D_e <=> xyl__D_p
5941,XYLtex_b,"Transport, Outer Membrane Porin",xyl__D_e <=> xyl__D_p
595,ABUTtex_f,"Transport, Outer Membrane Porin",4abut_e <=> 4abut_p
5951,ABUTtex_b,"Transport, Outer Membrane Porin",4abut_e <=> 4abut_p
596,23CAMPtex_f,"Transport, Outer Membrane Porin",23camp_e <=> 23camp_p
5961,23CAMPtex_b,"Transport, Outer Membrane Porin",23camp_e <=> 23camp_p
597,23CCMPtex_f,"Transport, Outer Membrane Porin",23ccmp_e <=> 23ccmp_p
5971,23CCMPtex_b,"Transport, Outer Membrane Porin",23ccmp_e <=> 23ccmp_p
598,23CUMPtex_f,"Transport, Outer Membrane Porin",23cump_e <=> 23cump_p
5981,23CUMPtex_b,"Transport, Outer Membrane Porin",23cump_e <=> 23cump_p
599,23CGMPtex_f,"Transport, Outer Membrane Porin",23cgmp_e <=> 23cgmp_p
5991,23CGMPtex_b,"Transport, Outer Membrane Porin",23cgmp_e <=> 23cgmp_p
600,3AMPtex_f,"Transport, Outer Membrane Porin",3amp_e <=> 3amp_p
6001,3AMPtex_b,"Transport, Outer Membrane Porin",3amp_e <=> 3amp_p
601,3CMPtex_f,"Transport, Outer Membrane Porin",3cmp_e <=> 3cmp_p
6011,3CMPtex_b,"Transport, Outer Membrane Porin",3cmp_e <=> 3cmp_p
602,ETHSO3tex_f,"Transport, Outer Membrane Porin",ethso3_e <=> ethso3_p
6021,ETHSO3tex_b,"Transport, Outer Membrane Porin",ethso3_e <=> ethso3_p
603,BUTSO3tex_f,"Transport, Outer Membrane Porin",butso3_e <=> butso3_p
6031,BUTSO3tex_b,"Transport, Outer Membrane Porin",butso3_e <=> butso3_p
604,LIPOtex_f,"Transport, Outer Membrane Porin",lipoate_e <=> lipoate_p
6041,LIPOtex_b,"Transport, Outer Membrane Porin",lipoate_e <=> lipoate_p
605,GALBDtex_f,"Transport, Outer Membrane Porin",gal_bD_e <=> gal_bD_p
6051,GALBDtex_b,"Transport, Outer Membrane Porin",gal_bD_e <=> gal_bD_p
606,SULFACtex_f,"Transport, Outer Membrane Porin",sulfac_e <=> sulfac_p
6061,SULFACtex_b,"Transport, Outer Membrane Porin",sulfac_e <=> sulfac_p
607,NOtex_f,"Transport, Outer Membrane Porin",no_e <=> no_p
6071,NOtex_b,"Transport, Outer Membrane Porin",no_e <=> no_p
608,N2Otex_f,"Transport, Outer Membrane Porin",n2o_e <=> n2o_p
6081,N2Otex_b,"Transport, Outer Membrane Porin",n2o_e <=> n2o_p
609,PEAMNtex_f,"Transport, Outer Membrane Porin",peamn_e <=> peamn_p
6091,PEAMNtex_b,"Transport, Outer Membrane Porin",peamn_e <=> peamn_p
610,PACALDtex_f,"Transport, Outer Membrane Porin",pacald_e <=> pacald_p
6101,PACALDtex_b,"Transport, Outer Membrane Porin",pacald_e <=> pacald_p
611,CYANtex_f,"Transport, Outer Membrane Porin",cyan_e <=> cyan_p
6111,CYANtex_b,"Transport, Outer Membrane Porin",cyan_e <=> cyan_p
612,SO3tex_f,"Transport, Outer Membrane Porin",so3_e <=> so3_p
6121,SO3tex_b,"Transport, Outer Membrane Porin",so3_e <=> so3_p
613,TCYNTtex_f,"Transport, Outer Membrane Porin",tcynt_e <=> tcynt_p
6131,TCYNTtex_b,"Transport, Outer Membrane Porin",tcynt_e <=> tcynt_p
614,METSOX1tex_f,"Transport, Outer Membrane Porin",metsox_S__L_e <=> metsox_S__L_p
6141,METSOX1tex_b,"Transport, Outer Membrane Porin",metsox_S__L_e <=> metsox_S__L_p
615,METSOX2tex_f,"Transport, Outer Membrane Porin",metsox_R__L_e <=> metsox_R__L_p
6151,METSOX2tex_b,"Transport, Outer Membrane Porin",metsox_R__L_e <=> metsox_R__L_p
616,3UMPtex_f,"Transport, Outer Membrane Porin",3ump_e <=> 3ump_p
6161,3UMPtex_b,"Transport, Outer Membrane Porin",3ump_e <=> 3ump_p
617,3GMPtex_f,"Transport, Outer Membrane Porin",3gmp_e <=> 3gmp_p
6171,3GMPtex_b,"Transport, Outer Membrane Porin",3gmp_e <=> 3gmp_p
618,DOPAtex_f,"Transport, Outer Membrane Porin",dopa_e <=> dopa_p
6181,DOPAtex_b,"Transport, Outer Membrane Porin",dopa_e <=> dopa_p
619,4HOXPACDtex_f,"Transport, Outer Membrane Porin",4hoxpacd_e <=> 4hoxpacd_p
6191,4HOXPACDtex_b,"Transport, Outer Membrane Porin",4hoxpacd_e <=> 4hoxpacd_p
620,ETHAtex_f,"Transport, Outer Membrane Porin",etha_e <=> etha_p
6201,ETHAtex_b,"Transport, Outer Membrane Porin",etha_e <=> etha_p
621,G3PStex_f,"Transport, Outer Membrane Porin",g3ps_e <=> g3ps_p
6211,G3PStex_b,"Transport, Outer Membrane Porin",g3ps_e <=> g3ps_p
622,ACGAL1Ptex_f,"Transport, Outer Membrane Porin",acgal1p_e <=> acgal1p_p
6221,ACGAL1Ptex_b,"Transport, Outer Membrane Porin",acgal1p_e <=> acgal1p_p
623,ACGALtex_f,"Transport, Outer Membrane Porin",acgal_e <=> acgal_p
6231,ACGALtex_b,"Transport, Outer Membrane Porin",acgal_e <=> acgal_p
624,GLCUR1Ptex_f,"Transport, Outer Membrane Porin",glcur1p_e <=> glcur1p_p
6241,GLCUR1Ptex_b,"Transport, Outer Membrane Porin",glcur1p_e <=> glcur1p_p
625,UDPGLCURtex_f,"Transport, Outer Membrane Porin",udpglcur_e <=> udpglcur_p
6251,UDPGLCURtex_b,"Transport, Outer Membrane Porin",udpglcur_e <=> udpglcur_p
626,ISETACtex_f,"Transport, Outer Membrane Porin",isetac_e <=> isetac_p
6261,ISETACtex_b,"Transport, Outer Membrane Porin",isetac_e <=> isetac_p
627,UDPGtex_f,"Transport, Outer Membrane Porin",udpg_e <=> udpg_p
6271,UDPGtex_b,"Transport, Outer Membrane Porin",udpg_e <=> udpg_p
628,UDPGALtex_f,"Transport, Outer Membrane Porin",udpgal_e <=> udpgal_p
6281,UDPGALtex_b,"Transport, Outer Membrane Porin",udpgal_e <=> udpgal_p
629,ACGAM1Ptex_f,"Transport, Outer Membrane Porin",acgam1p_e <=> acgam1p_p
6291,ACGAM1Ptex_b,"Transport, Outer Membrane Porin",acgam1p_e <=> acgam1p_p
630,UACGAMtex_f,"Transport, Outer Membrane Porin",uacgam_e <=> uacgam_p
6301,UACGAMtex_b,"Transport, Outer Membrane Porin",uacgam_e <=> uacgam_p
631,UDPACGALtex_f,"Transport, Outer Membrane Porin",udpacgal_e <=> udpacgal_p
6311,UDPACGALtex_b,"Transport, Outer Membrane Porin",udpacgal_e <=> udpacgal_p
632,MSO3tex_f,"Transport, Outer Membrane Porin",mso3_e <=> mso3_p
6321,MSO3tex_b,"Transport, Outer Membrane Porin",mso3_e <=> mso3_p
633,GLYC2Ptex_f,"Transport, Outer Membrane Porin",glyc2p_e <=> glyc2p_p
6331,GLYC2Ptex_b,"Transport, Outer Membrane Porin",glyc2p_e <=> glyc2p_p
634,PSERtex_f,"Transport, Outer Membrane Porin",pser__L_e <=> pser__L_p
6341,PSERtex_b,"Transport, Outer Membrane Porin",pser__L_e <=> pser__L_p
635,R5Ptex_f,"Transport, Outer Membrane Porin",r5p_e <=> r5p_p
6351,R5Ptex_b,"Transport, Outer Membrane Porin",r5p_e <=> r5p_p
636,THRPtex_f,"Transport, Outer Membrane Porin",thrp_e <=> thrp_p
6361,THRPtex_b,"Transport, Outer Membrane Porin",thrp_e <=> thrp_p
637,TYRPtex_f,"Transport, Outer Membrane Porin",tyrp_e <=> tyrp_p
6371,TYRPtex_b,"Transport, Outer Membrane Porin",tyrp_e <=> tyrp_p
638,CITtex_f,"Transport, Outer Membrane Porin",cit_e <=> cit_p
6381,CITtex_b,"Transport, Outer Membrane Porin",cit_e <=> cit_p
639,ACGAtex_f,"Transport, Outer Membrane Porin",acgam_e <=> acgam_p
6391,ACGAtex_b,"Transport, Outer Membrane Porin",acgam_e <=> acgam_p
640,G6Ptex_f,"Transport, Outer Membrane Porin",g6p_e <=> g6p_p
6401,G6Ptex_b,"Transport, Outer Membrane Porin",g6p_e <=> g6p_p
641,MOBDtex_f,"Transport, Outer Membrane Porin",mobd_e <=> mobd_p
6411,MOBDtex_b,"Transport, Outer Membrane Porin",mobd_e <=> mobd_p
642,NI2tex_f,"Transport, Outer Membrane Porin",ni2_e <=> ni2_p
6421,NI2tex_b,"Transport, Outer Membrane Porin",ni2_e <=> ni2_p
643,H2O2tex_f,"Transport, Outer Membrane Porin",h2o2_e <=> h2o2_p
6431,H2O2tex_b,"Transport, Outer Membrane Porin",h2o2_e <=> h2o2_p
644,ADEtex_f,"Transport, Outer Membrane Porin",ade_e <=> ade_p
6441,ADEtex_b,"Transport, Outer Membrane Porin",ade_e <=> ade_p
645,AGMtex_f,"Transport, Outer Membrane Porin",agm_e <=> agm_p
6451,AGMtex_b,"Transport, Outer Membrane Porin",agm_e <=> agm_p
646,ALAtex_f,"Transport, Outer Membrane Porin",ala__L_e <=> ala__L_p
6461,ALAtex_b,"Transport, Outer Membrane Porin",ala__L_e <=> ala__L_p
647,BALAtex_f,"Transport, Outer Membrane Porin",ala_B_e <=> ala_B_p
6471,BALAtex_b,"Transport, Outer Membrane Porin",ala_B_e <=> ala_B_p
648,DALAtex_f,"Transport, Outer Membrane Porin",ala__D_e <=> ala__D_p
6481,DALAtex_b,"Transport, Outer Membrane Porin",ala__D_e <=> ala__D_p
649,AMPtex_f,"Transport, Outer Membrane Porin",amp_e <=> amp_p
6491,AMPtex_b,"Transport, Outer Membrane Porin",amp_e <=> amp_p
650,ARBtex_f,"Transport, Outer Membrane Porin",arab__L_e <=> arab__L_p
6501,ARBtex_b,"Transport, Outer Membrane Porin",arab__L_e <=> arab__L_p
651,ARGtex_f,"Transport, Outer Membrane Porin",arg__L_e <=> arg__L_p
