,bigg_id,group_descr,reaction
161,GALt2pp,"Transport, Inner Membrane",gal_p + h_p --> gal_c + h_c
162,ABUTt2pp,"Transport, Inner Membrane",4abut_p + h_p --> 4abut_c + h_c
163,CYSabcpp,"Transport, Inner Membrane",atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c
164,SBTptspp,"Transport, Inner Membrane",pep_c + sbt__D_p --> pyr_c + sbt6p_c
167,ACt4pp,"Transport, Inner Membrane",ac_p + na1_p --> ac_c + na1_c
169,ADNt2pp_copy1,"Transport, Inner Membrane",adn_p + h_p --> adn_c + h_c
171,ALAabcpp,"Transport, Inner Membrane",ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c
172,ALLabcpp,"Transport, Inner Membrane",all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c
174,ARBabcpp,"Transport, Inner Membrane",arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c
177,NACtpp,"Transport, Inner Membrane",nac_p --> nac_c
178,CITt7pp,"Transport, Inner Membrane",cit_p + succ_c --> cit_c + succ_p
179,CRNt7pp,"Transport, Inner Membrane",crn_p + gbbtn_c --> crn_c + gbbtn_p
180,CHLabcpp,"Transport, Inner Membrane",atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c
181,DGSNt2pp,"Transport, Inner Membrane",dgsn_p + h_p --> dgsn_c + h_c
182,DINSt2pp,"Transport, Inner Membrane",din_p + h_p --> din_c + h_c
183,DURIt2pp,"Transport, Inner Membrane",duri_p + h_p --> duri_c + h_c
184,FRUptspp,"Transport, Inner Membrane",fru_p + pep_c --> f1p_c + pyr_c
186,FUMt2_2pp,"Transport, Inner Membrane",fum_p + 2.0 h_p --> fum_c + 2.0 h_c
187,FUMt2_3pp,"Transport, Inner Membrane",fum_p + 3.0 h_p --> fum_c + 3.0 h_c
188,CSNt2pp,"Transport, Inner Membrane",csn_p + h_p --> csn_c + h_c
189,CYNTt2pp,"Transport, Inner Membrane",cynt_p + h_p --> cynt_c + h_c
190,CYTDt2pp_copy1,"Transport, Inner Membrane",cytd_p + h_p --> cytd_c + h_c
192,DADNt2pp,"Transport, Inner Membrane",dad_2_p + h_p --> dad_2_c + h_c
193,DCYTt2pp,"Transport, Inner Membrane",dcyt_p + h_p --> dcyt_c + h_c
195,CYSabc2pp,"Transport, Inner Membrane",atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c
196,CBIuabcpp,"Transport, Inner Membrane",atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c
198,CADVtpp,"Transport, Inner Membrane",15dap_c + h_p + lys__L_p --> 15dap_p + h_c + lys__L_c
199,FORtppi,"Transport, Inner Membrane",for_c --> for_p
200,BUTSO3abcpp,"Transport, Inner Membrane",atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c
201,ETHSO3abcpp,"Transport, Inner Membrane",atp_c + ethso3_p + h2o_c --> adp_c + ethso3_c + h_c + pi_c
202,FEENTERtpp,"Transport, Inner Membrane",enter_c + h_p --> enter_p + h_c
203,PTRCt2pp,"Transport, Inner Membrane",h_p + ptrc_p --> h_c + ptrc_c
204,SULFACabcpp,"Transport, Inner Membrane",atp_c + h2o_c + sulfac_p --> adp_c + h_c + pi_c + sulfac_c
205,PHEMEabcpp,"Transport, Inner Membrane",atp_c + h2o_c + pheme_c --> adp_c + h_c + pheme_p + pi_c
206,METSOX1abcpp,"Transport, Inner Membrane",atp_c + h2o_c + metsox_S__L_p --> adp_c + h_c + metsox_S__L_c + pi_c
207,CRNt8pp,"Transport, Inner Membrane",crn__D_c + crn_p --> crn__D_p + crn_c
212,LIPOt2pp,"Transport, Inner Membrane",h_p + lipoate_p --> h_c + lipoate_c
213,INOSTt4pp,"Transport, Inner Membrane",inost_p + na1_p --> inost_c + na1_c
214,METSOX2abcpp,"Transport, Inner Membrane",atp_c + h2o_c + metsox_R__L_p --> adp_c + h_c + metsox_R__L_c + pi_c
216,ISETACabcpp,"Transport, Inner Membrane",atp_c + h2o_c + isetac_p --> adp_c + h_c + isetac_c + pi_c
217,MSO3abcpp,"Transport, Inner Membrane",atp_c + h2o_c + mso3_p --> adp_c + h_c + mso3_c + pi_c
218,SKMt2pp,"Transport, Inner Membrane",h_p + skm_p --> h_c + skm_c
219,CPGNabcpp,"Transport, Inner Membrane",atp_c + cpgn_p + h2o_c --> adp_c + cpgn_c + h_c + pi_c
221,ILEabcpp,"Transport, Inner Membrane",atp_c + h2o_c + ile__L_p --> adp_c + h_c + ile__L_c + pi_c
222,INDOLEt2pp,"Transport, Inner Membrane",h_c + indole_c --> h_p + indole_p
223,INSt2pp,"Transport, Inner Membrane",h_p + ins_p --> h_c + ins_c
224,LYXt2pp,"Transport, Inner Membrane",h_p + lyx__L_p --> h_c + lyx__L_c
225,LEUabcpp,"Transport, Inner Membrane",atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c
227,MALt2_2pp,"Transport, Inner Membrane",2.0 h_p + mal__L_p --> 2.0 h_c + mal__L_c
228,MALt2_3pp,"Transport, Inner Membrane",3.0 h_p + mal__L_p --> 3.0 h_c + mal__L_c
229,MALTabcpp,"Transport, Inner Membrane",atp_c + h2o_c + malt_p --> adp_c + h_c + malt_c + pi_c
230,MALTHXabcpp,"Transport, Inner Membrane",atp_c + h2o_c + malthx_p --> adp_c + h_c + malthx_c + pi_c
231,MALTPTabcpp,"Transport, Inner Membrane",atp_c + h2o_c + maltpt_p --> adp_c + h_c + maltpt_c + pi_c
232,MALTTRabcpp,"Transport, Inner Membrane",atp_c + h2o_c + malttr_p --> adp_c + h_c + malttr_c + pi_c
233,MALTTTRabcpp,"Transport, Inner Membrane",atp_c + h2o_c + maltttr_p --> adp_c + h_c + maltttr_c + pi_c
234,MAN6Pt6_2pp,"Transport, Inner Membrane",man6p_p + 2.0 pi_c --> man6p_c + 2.0 pi_p
235,MANGLYCptspp,"Transport, Inner Membrane",manglyc_p + pep_c --> man6pglyc_c + pyr_c
236,MELIBt2pp,"Transport, Inner Membrane",h_p + melib_p --> h_c + melib_c
237,METabcpp,"Transport, Inner Membrane",atp_c + h2o_c + met__L_p --> adp_c + h_c + met__L_c + pi_c
238,RMNtpp,"Transport, Inner Membrane",h_p + rmn_p --> h_c + rmn_c
239,SERt4pp,"Transport, Inner Membrane",na1_p + ser__L_p --> na1_c + ser__L_c
240,SUCCt2_3pp,"Transport, Inner Membrane",3.0 h_p + succ_p --> 3.0 h_c + succ_c
241,MNLptspp,"Transport, Inner Membrane",mnl_p + pep_c --> mnl1p_c + pyr_c
242,NMNPtpp,"Transport, Inner Membrane",nmn_p --> nmn_c
243,ORNabcpp,"Transport, Inner Membrane",atp_c + h2o_c + orn_p --> adp_c + h_c + orn_c + pi_c
244,PNTOt4pp,"Transport, Inner Membrane",na1_p + pnto__R_p --> na1_c + pnto__R_c
245,METDabcpp,"Transport, Inner Membrane",atp_c + h2o_c + met__D_p --> adp_c + h_c + met__D_c + pi_c
246,PROabcpp,"Transport, Inner Membrane",atp_c + h2o_c + pro__L_p --> adp_c + h_c + pi_c + pro__L_c
248,PROt4pp,"Transport, Inner Membrane",na1_p + pro__L_p --> na1_c + pro__L_c
249,PTRCabcpp,"Transport, Inner Membrane",atp_c + h2o_c + ptrc_p --> adp_c + h_c + pi_c + ptrc_c
250,ADOCBLabcpp,"Transport, Inner Membrane",adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c
251,CRNabcpp,"Transport, Inner Membrane",atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c
252,CRNDabcpp,"Transport, Inner Membrane",atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c
253,CTBTabcpp,"Transport, Inner Membrane",atp_c + ctbt_p + h2o_c --> adp_c + ctbt_c + h_c + pi_c
254,RIBabcpp,"Transport, Inner Membrane",atp_c + h2o_c + rib__D_p --> adp_c + h_c + pi_c + rib__D_c
255,MMETt2pp,"Transport, Inner Membrane",h_p + mmet_p --> h_c + mmet_c
256,GLNabcpp,"Transport, Inner Membrane",atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c
257,GLUabcpp,"Transport, Inner Membrane",atp_c + glu__L_p + h2o_c --> adp_c + glu__L_c + h_c + pi_c
260,GLUt4pp,"Transport, Inner Membrane",glu__L_p + na1_p --> glu__L_c + na1_c
262,LCTSt3ipp,"Transport, Inner Membrane",h_p + lcts_c --> h_c + lcts_p
263,ARBt3ipp,"Transport, Inner Membrane",arab__L_c + h_p --> arab__L_p + h_c
264,14GLUCANabcpp,"Transport, Inner Membrane",14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c
267,GLYBabcpp,"Transport, Inner Membrane",atp_c + glyb_p + h2o_c --> adp_c + glyb_c + h_c + pi_c
268,GLYC3Pt6pp,"Transport, Inner Membrane",glyc3p_p + pi_c --> glyc3p_c + pi_p
