"reaction_id","direction","value","par_type","unit","condition","notes"
"PRFGS","fwd",9.38988131496425,"k_app","s-1","Glucose","median of calculated k_app"
"PRMICI","fwd",6.88757434426525,"k_app","s-1","Glucose","median of calculated k_app"
"PRPPS","fwd",13.6898442404018,"k_app","s-1","Glucose","median of calculated k_app"
"PSCVT","fwd",6.89192218896781,"k_app","s-1","Glucose","median of calculated k_app"
"SDPDS","fwd",47.7549170284787,"k_app","s-1","Glucose","median of calculated k_app"
"SDPTA","bwd",5.05429333368866,"k_app","s-1","Glucose","median of calculated k_app"
"SERAT","fwd",21.2156661255808,"k_app","s-1","Glucose","median of calculated k_app"
"SHSL1","fwd",7.04616627874576,"k_app","s-1","Glucose","median of calculated k_app"
"SO4t2pp","fwd",183.758631921565,"k_app","s-1","Glucose","median of calculated k_app"
"T2DECAI","fwd",1.77386643794755,"k_app","s-1","Glucose","median of calculated k_app"
"THDPS","fwd",1.44951910810994,"k_app","s-1","Glucose","median of calculated k_app"
"THRS","fwd",9.36283353989845,"k_app","s-1","Glucose","median of calculated k_app"
"TMDS","fwd",2.36867469894359,"k_app","s-1","Glucose","median of calculated k_app"
"TPI","fwd",157.739324210159,"k_app","s-1","Glucose","median of calculated k_app"
"VALTA","bwd",6.30167006226882,"k_app","s-1","Glucose","median of calculated k_app"
"VPAMTr","bwd",49.1306095077642,"k_app","s-1","Glucose","median of calculated k_app"
"13PPDH2","fwd",2.79183856861928,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"13PPDH2","bwd",3.28380442554245,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"23PDE2pp","fwd",3.54042518921119,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"23PDE4pp","fwd",3.54042518921119,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"23PDE7pp","fwd",3.54042518921119,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"23PDE9pp","fwd",3.54042518921119,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPEAT120","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPEAT140","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"2AGPEAT141","fwd",2.04447654743287,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
