,id,conc,z_log_c
113,e4p_c,0.02663679064164249,0.0
114,arg__L_c,2.6008360283612886,1.0233810353657558e-06
115,q8h2_c,0.2343967898736149,-4.8087457455436855e-06
116,butACP_c,0.23440121832388125,4.622924279260032e-06
117,t3c5ddeceACP_c,0.23439917327221124,2.6741539677771486e-07
118,akg_p,0.23441788071615643,8.021745552986301e-06
119,dcaACP_c,0.2343989898107364,-1.2331892739608774e-07
120,nadh_c,0.027262201834748923,-0.11575590897180339
121,etoh_p,0.2263184942092474,-0.003502704336055429
122,prbamp_c,0.23439904333949219,-9.313913258701678e-09
123,nh4_p,0.2344008278602194,7.582651515413569e-07
124,thdp_c,1.4335459909649675,0.9040294741977282
125,thex2eACP_c,0.23439927858002424,4.916987339422668e-07
126,leu__L_c,0.2343960943230027,-6.290138821377078e-06
127,hexACP_c,0.23439896932844262,-1.6694192086705306e-07
128,acACP_c,0.23439942268201788,7.986052946093447e-07
129,5caiz_c,8.32401090894194,1.7821552634322642
130,26dap__M_c,0.23439901661722443,-6.622673190403994e-08
131,thf_c,0.03922950386858018,-0.8924048749154738
132,orot5p_c,0.23439952422771593,1.0148758959604987e-06
133,h_p,1000.0,0.0
134,mql8_c,0.2344024840049391,7.318526664426561e-06
135,prlp_c,0.23439376575390541,-1.1249588688956591e-05
136,3hhexACP_c,0.23439925097176578,4.328990002577804e-07
137,ser__L_c,0.3275586519223141,0.16706028172788837
138,atp_c,3.449139474468712,0.0
139,fprica_c,0.02807394484316166,-1.0594377310360872
140,6pgl_c,0.23439802690320866,-2.1741142906574196e-06
141,dgtp_c,0.2343992772327094,4.888292391216909e-07
142,gar_c,0.2343973226856685,-3.673958419839196e-06
143,citr__L_c,0.2361554047102422,0.00372672639511884
144,t3c9palmeACP_c,0.2343989348829523,-2.403036051430718e-07
145,g6p_c,0.9491606667965093,0.0
146,hco3_c,0.23439498360888342,-8.655761850828725e-06
147,air_c,0.23440410030832273,1.07608508140844e-05
148,palmACP_c,0.2343989866860771,-1.299737964755021e-07
149,r5p_c,0.28500286977743045,0.5703584499420549
150,lys__L_c,0.23440012234877575,2.2887438214935774e-06
151,skm_c,0.23439914350357022,2.040144780057762e-07
152,hom__L_c,0.23439702142104946,-4.315593871651036e-06
153,3hddecACP_c,0.2343990208514329,-5.7208756658148896e-08
154,adp_c,0.6046123728891751,0.0
155,imacp_c,0.2343970529385028,-4.248467744258355e-06
156,methf_c,0.06430381046378834,-0.6456951065185889
157,cddec5eACP_c,0.23439914827925157,2.1418567113136444e-07
158,ac_e,0.03393077759699987,-0.19296902050759768
159,3hoctACP_c,0.23439927851132708,4.915524230864748e-07
160,orn_c,0.23440279565456854,7.982264699266106e-06
161,ile__L_c,0.23439986973701082,1.7507360347557288e-06
162,pi_c,1.440555278867872,0.9064644535322456
163,asn__L_c,0.37492990560342365,0.0
164,o2_c,0.0076556251494757505,-1.7081257258187887
165,3pg_c,5.600071108067843,1.5842816871671268
166,nad_c,2.129872970424052,0.13894401308357876
167,pser__L_c,0.2343964394085697,-5.5551703763701e-06
168,datp_c,0.2343989196887067,-2.7266417140792143e-07
169,3hpalmACP_c,0.234398959650145,-1.8755466803938026e-07
170,6pgc_c,0.27853764229962696,-2.4832328836668638e-05
171,acorn_c,0.23439863109416412,-8.87310602800187e-07
172,malACP_c,0.20948116563787847,-0.056107994646271184
173,glu__L_p,0.2349179718759532,0.0002207955654768968
174,dadp_c,0.2343985683667819,-1.0209069974259632e-06
175,accoa_c,0.7389334839560467,0.5731966827653339
176,3hmrsACP_c,0.23439897871851212,-1.4694304046464213e-07
177,dcdp_c,0.23439886925918998,-3.8006851284765053e-07
178,pro__L_c,0.23439867096266942,-8.023989224725803e-07
179,asp__L_c,1.4020055968454295,0.06948401033902063
180,prfp_c,0.23440466565477452,1.1964892522892123e-05
181,mqn8_c,0.23440161492947587,5.467602298470098e-06
182,dump_c,0.23439848407167868,-1.2004382492214472e-06
183,dhf_c,0.2343994350113818,8.248642062308464e-07
184,cys__L_c,0.23439594566073585,-6.606762293359658e-06
185,tdeACP_c,0.23439961463914033,1.2074327975925003e-06
186,toct2eACP_c,0.23439932050912834,5.809988166422669e-07
187,cdp_c,0.2343992209348909,3.6892682183514713e-07
188,fgam_c,0.23439862109507847,-9.086065910768326e-07
189,3hdecACP_c,0.23440101999216462,4.200523142546854e-06
190,orot_c,0.2343978189329713,-2.617049309656949e-06
191,val__L_c,0.23439625192190278,-5.954482173303743e-06
192,4mop_c,0.23439119909169262,-1.6716192839688615e-05
193,h_c,1000.0,0.0
194,prpp_c,0.2343979581862685,-2.3204675888011117e-06
195,dudp_c,0.23439873329715233,-6.696393801061684e-07
196,dutp_c,0.23439866392158104,-8.173949850066864e-07
197,dhor__S_c,0.03548297683885081,-0.9425146810847168
198,acald_c,0.08130781439429174,-0.5285663275655323
199,3ig3p_c,0.23439779713780773,-2.663468672177427e-06
200,his__L_c,0.2343989733913947,-1.5828868346612346e-07
201,akg_e,0.23440478019240202,2.4417655378772838e-06
202,3ocpalm9eACP_c,0.23439822766760174,-1.7465266521493605e-06
203,3haACP_c,0.2343981086294875,-2.000053766715304e-06
204,gly_c,0.16774539103988734,-0.16702811238613047
205,cbasp_c,1.5484478776391575,0.9425203745363582
206,aicar_c,0.30554837524323064,0.13233498125282114
207,23dhmp_c,0.2343995620703938,1.0954726756828848e-06
208,sl26da_c,0.23439792416508354,-2.3929259042043682e-06
209,ac_p,0.03397582951027975,-0.19283653943023205
210,glu5p_c,0.004816170523635055,-1.9394953401633508
211,skm5p_c,0.23439869763667523,-7.455888087620766e-07
212,3ohexACP_c,0.23440117065973662,4.521410599133205e-06
213,phom_c,0.2343990033010562,-9.458737565415376e-08
214,pep_c,0.3531659869954707,8.027368222562892e-05
215,q8_c,0.23439530212980722,-7.977367930789292e-06
216,cdec3eACP_c,0.22989722030045756,-0.009681214510057181
217,imp_c,0.348456309755111,0.19793494906642758
218,aspsa_c,0.0038015029620827264,-2.0576022774559064
219,histd_c,0.23439806052536638,-2.1025058550630527e-06
220,ac_c,0.27357492560429736,0.07715482958365091
221,dtmp_c,0.2343990002534617,-1.0107811263676547e-07
222,udp_c,0.23439878333588932,-5.63067256126315e-07
223,3mop_c,0.23439957277899234,1.1182796885167434e-06
224,10fthf_c,0.46942814459907595,0.34670390931990286
