,id,v,drg0,drg,z_drg,z_drg0,sp_drg
42,IMPC,-0.35251612643873026,16.55819565161058,10.063221876731117,-1.0469882706240727,-0.5590847151365566,1.5109715665544273e-10
43,IMPD,0.157894078208182,13.18381899335245,-0.0999999718359339,-0.30250766954884795,-0.10986093306668682,0.07663753704729866
44,PPS,11.875431677577012,-10.157901996069857,-35.66578580646522,0.875407544600582,-0.09622421328787177,4.118063200002278e-11
45,PGI,-18.28899990534311,2.675511064733683,0.10000000050204266,0.8164980105506476,0.678038980860022,4.084580057574091
46,PGK,-8.98771306118606,19.464640659711833,2.8416712494641327,-1.59462117924941,-0.1798040154860333,5.531410759768706e-10
47,PGL,28.27820505536727,-28.074494810699647,-27.629578214952968,-0.008514526090344724,-0.027937297389673422,5.367518087195073e-11
48,RPE,18.34818675587285,-2.8131549169717838,-3.055963554655853,0.5081056565684039,0.5005193359751885,5.129312750429907e-10
49,DHQTi,0.24736406934157046,-5.290220084675648,-5.290189521746402,4.288250244025016e-06,9.649032080977227e-07,2.9146684613634685e-10
50,IPMD,0.2932737063939513,12.496788366283207,-0.10000003730700513,-0.22016786607035715,-0.2337021274367092,0.22143034109750212
51,AIRC3,-0.2908463092755384,-18.311542821369684,0.09999969278050713,3.2208062827897885,2.006141043922045,0.6900227591965783
52,TALA,9.297775412607216,-0.85999286405882,-12.339634560032355,0.11242154840565322,0.255367791949212,1.2270515749362964e-10
53,ADSL2r,0.2908463092755384,23.401206491921503,-0.10000001978898876,-0.7206387677119306,-0.5262138283092066,0.35896142715661516
54,TKT1,9.297775412607216,-4.076631375002214,-0.10000002906262528,-0.5736129955308575,-1.096252486664922,1.1821452789470646
55,RNDR1,0.007988074372176957,-44.10918248327387,-46.55269066833647,-0.005087672658576667,-0.01319856242990658,3.11416826270135e-11
56,ALCD2x,-0.0009925778197202783,15.16540490725018,1.1850239173908412,-0.3798826021974501,-0.006721358458836996,1.400321779720559e-09
57,RNDR3,0.017586749248432145,-40.0203504156038,-40.020351401001776,0.05292853346930433,0.19315087803362668,3.650941051044724e-11
58,RNDR4,0.017032789755875022,-44.497223158046296,-44.4972180963736,0.026433800467014414,0.11626049714683973,3.266074883450065e-11
59,TMDS,0.017032789755875022,-45.41155391889771,-51.56571466468425,-0.5839597848778406,-0.040291889933922076,2.7944512081429275e-11
