	bigg_reaction_id	biocyc_reaction_id
166	TKT2	ECOLI:2TRANSKETO-RXN
167	ATPS4rpp	ECOLI:ATPSYN-RXN
168	CO2tpp	ECOLI:TRANS-RXN0-545
169	GK1	ECOLI:GUANYL-KIN-RXN
170	GLCNtex	ECOLI:RXN0-2481
171	GLNtex	ECOLI:RXN0-2481
172	O2tex	ECOLI:RXN0-2481
173	D_LACtex	ECOLI:RXN0-2481
174	GLCtex_copy1	ECOLI:RXN0-2481
175	FUMt2_2pp	ECOLI:TRANS-RXN0-553
176	PItex	ECOLI:RXN0-2481
177	CYTBDpp	ECOLI:RXN0-5266
178	CYTBD2pp	ECOLI:RXN0-5266
179	ACt2rpp	ECOLI:TRANS-RXN0-571
180	METS	ECOLI:HOMOCYSMETB12-RXN
181	FRUtex	ECOLI:RXN0-2481
182	FUMtex	ECOLI:RXN0-2481
183	PRASCSi	ECOLI:SAICARSYN-RXN
184	MTHFC	ECOLI:METHENYLTHFCYCLOHYDRO-RXN
185	MTHFD	ECOLI:METHYLENETHFDEHYDROG-NADP-RXN
186	XYLtex	ECOLI:RXN0-2481
187	FORtppi	ECOLI:TRANS-RXN-1
188	PYRtex	ECOLI:RXN0-2481
189	SO4tex	ECOLI:RXN0-2481
190	SUCCtex	ECOLI:RXN0-2481
191	GRXR	ECOLI:PRODISULFREDUCT-RXN
192	RNDR1b	ECOLI:RXN0-747
193	RNDR2b	ECOLI:RXN0-748
194	MALt2_2pp	ECOLI:TRANS-RXN-121A
195	NH4tpp	ECOLI:RXN-9615
196	NH4tex	ECOLI:RXN0-2481
197	RIBabcpp	ECOLI:ABC-28-RXN
198	GLYCAt2rpp	ECOLI:TRANS-RXN0-523
199	GLYCAtex	ECOLI:RXN0-2481
200	GLYCtpp	ECOLI:TRANS-RXN-131
201	H2Otpp	ECOLI:TRANS-RXN-145
202	GLNabcpp	ECOLI:ABC-12-RXN
203	CO2tex	ECOLI:RXN0-2481
204	GLUt2rpp	ECOLI:TRANS-RXN-162
205	ACGK	ECOLI:ACETYLGLUTKIN-RXN
206	GNK	ECOLI:GLUCONOKIN-RXN
207	GLUDy	ECOLI:GLUTDEHYD-RXN
208	GLCNt2rpp	ECOLI:TRANS-RXN0-209
209	GLCptspp	ECOLI:TRANS-RXN-157
210	HSTPT	ECOLI:HISTAMINOTRANS-RXN
211	THDPS	ECOLI:TETHYDPICSUCC-RXN
212	ATPM	ECOLI:ATPASE-RXN
213	THRD_L	ECOLI:THREDEHYD-RXN
214	ETOHtex	ECOLI:RXN0-2481
215	RNDR2	ECOLI:GDPREDUCT-RXN
216	DHFR	ECOLI:DIHYDROFOLATEREDUCT-RXN
217	PRAIi	ECOLI:PRAISOM-RXN
218	TYRTA	ECOLI:TYROSINE-AMINOTRANSFERASE-RXN
219	SHKK	ECOLI:SHIKIMATE-KINASE-RXN
220	GLUSy	ECOLI:GLUTAMATESYN-RXN
221	OMCDC	ECOLI:RXN-7800
222	IG3PS	ECOLI:GLUTAMIDOTRANS-RXN
223	PDH	ECOLI:PYRUVDEH-RXN
224	MTHFR2	ECOLI:RXN-22438
225	DUTPDP	ECOLI:DUTP-PYROP-RXN
226	NTP5	ECOLI:RXN-12195
227	FORt2pp	ECOLI:TRANS-RXN-1
228	GLNS	ECOLI:GLUTAMINESYN-RXN
229	ACGS	ECOLI:N-ACETYLTRANSFER-RXN
230	SUCOAS	ECOLI:SUCCCOASYN-RXN
231	PRAIS	ECOLI:AIRS-RXN
232	HISTP	ECOLI:HISTIDPHOS-RXN
233	LDH_D	ECOLI:DLACTDEHYDROGNAD-RXN
234	KAS15	ECOLI:2.3.1.180-RXN
235	T2DECAI	ECOLI:5.3.3.14-RXN
236	3OAS161	ECOLI:RXN-10658
237	DHQS	ECOLI:3-DEHYDROQUINATE-SYNTHASE-RXN
238	EAR161x	ECOLI:RXN-10661
239	PGCD	ECOLI:PGLYCDEHYDROG-RXN
240	MALtex	ECOLI:RXN0-2481
241	3OAS141	ECOLI:RXN-10654
242	3OAR121	ECOLI:RXN0-2142
243	ADSL1r	ECOLI:AMPSYN-RXN
244	AICART	ECOLI:AICARTRANSFORM-RXN
245	D_LACt2pp	ECOLI:TRANS-RXN0-515
246	RIBtex	ECOLI:RXN0-2481
247	FRUpts2pp	ECOLI:TRANS-RXN-158A
248	FORtex	ECOLI:RXN0-2481
249	PFK	ECOLI:6PFRUCTPHOS-RXN
250	PGM	ECOLI:RXN-15513
251	CYTBO3_4pp	ECOLI:RXN0-5268
252	EAR141x	ECOLI:RXN-10657
253	EAR181x	ECOLI:RXN-9558
254	TPI	ECOLI:TRIOSEPISOMERIZATION-RXN
255	RPI	ECOLI:RIB5PISOM-RXN
256	3OAR120	ECOLI:3-OXOACYL-ACP-REDUCT-RXN
257	3HAD80	ECOLI:3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
258	3HAD120	ECOLI:3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
259	EAR180x	ECOLI:ENOYL-ACP-REDUCT-NADH-RXN
260	AKGtex	ECOLI:RXN0-2481
261	SO4t2pp	ECOLI:TRANS-RXN0-586
262	EAR180y	ECOLI:ENOYL-ACP-REDUCT-NADPH-RXN
263	ACONTb	ECOLI:ACONITATEHYDR-RXN
264	3HAD161	ECOLI:RXN-10660
265	SUCDi	ECOLI:SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
266	ASNS1	ECOLI:ASNSYNB-RXN
267	EAR80y	ECOLI:ENOYL-ACP-REDUCT-NADPH-RXN
268	EAR120y	ECOLI:ENOYL-ACP-REDUCT-NADPH-RXN
269	3OAR181	ECOLI:RXN-9556
270	3HAD121	ECOLI:RXN0-2144
271	EAR140x	ECOLI:ENOYL-ACP-REDUCT-NADH-RXN
272	3OAS181	ECOLI:2.3.1.179-RXN
