reaction_id,equation
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c
GLU5K,atp_c + glu__L_c --> adp_c + glu5p_c
IPPS,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c
ACOATA,ACP_c + accoa_c <=> acACP_c + coa_c
ACtex,ac_e <=> ac_p
ACALDtex,acald_e <=> acald_p
PSP_L,h2o_c + pser__L_c --> pi_c + ser__L_c
ADSK,aps_c + atp_c --> adp_c + h_c + paps_c
SUCCt2_2pp,2.0 h_p + succ_p --> 2.0 h_c + succ_c
HSDy,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c
CYSTL,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c
SHSL1,cys__L_c + suchms_c --> cyst__L_c + h_c + succ_c
SULabcpp,atp_c + h2o_c + so4_p --> adp_c + h_c + pi_c + so4_c
GLUtex,glu__L_e <=> glu__L_p
AKGt2rpp,akg_p + h_p <=> akg_c + h_c
XYLt2pp,h_p + xyl__D_p --> h_c + xyl__D_c
GLYCtex,glyc_e <=> glyc_p
Htex,h_e <=> h_p
H2Otex,h2o_e <=> h2o_p
O2tpp,o2_p <=> o2_c
PYRt2rpp,h_p + pyr_p <=> h_c + pyr_c
THD2pp,h_p + nadh_c + nadp_c --> h_c + nad_c + nadph_c
TKT2,e4p_c + xu5p__D_c <=> f6p_c + g3p_c
ATPS4rpp,adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c
CO2tpp,co2_p <=> co2_c
GK1,atp_c + gmp_c <=> adp_c + gdp_c
GLCNtex,glcn_e <=> glcn_p
GLNtex,gln__L_e <=> gln__L_p
O2tex,o2_e <=> o2_p
D_LACtex,lac__D_e <=> lac__D_p
GLCtex_copy1,glc__D_e --> glc__D_p
FUMt2_2pp,fum_p + 2.0 h_p --> fum_c + 2.0 h_c
PItex,pi_e <=> pi_p
CYTBDpp,4.0 h_c + o2_c + 2.0 q8h2_c --> 2.0 h2o_c + 4.0 h_p + 2.0 q8_c
CYTBD2pp,4.0 h_c + 2.0 mql8_c + o2_c --> 2.0 h2o_c + 4.0 h_p + 2.0 mqn8_c
ACALDtpp,acald_p <=> acald_c
ACt2rpp,ac_p + h_p <=> ac_c + h_c
METS,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c
EX_glyc__R_e,glyc__R_e --> 
FRUtex,fru_e <=> fru_p
FUMtex,fum_e <=> fum_p
PRASCSi,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c
MTHFC,h2o_c + methf_c <=> 10fthf_c + h_c
MTHFD,mlthf_c + nadp_c <=> methf_c + nadph_c
XYLtex,xyl__D_e <=> xyl__D_p
FORtppi,for_c --> for_p
PYRtex,pyr_e <=> pyr_p
